pair,averaging_frames,tau_s,allan_deviation,allan_variance,overlapping_terms,deviation_unit
"(4,4)-(8,8)",47,0.6478090927792636,1.7842119187389414,3.1834121709700947,4472483,urad^2
"(4,4)-(8,8)",54,0.7442912980868135,1.6678410093527243,2.7816936324787145,4472469,urad^2
"(4,4)-(8,8)",62,0.8545566755811562,1.5602704847975817,2.4344439857304807,4472453,urad^2
"(4,4)-(8,8)",72,0.9923883974490846,1.453232708283847,2.111885304426005,4472433,urad^2
"(3,3)-(8,8)",1,0.013783172186792841,11.027924895154525,121.61512749316894,4472575,urad^2
"(3,3)-(8,8)",2,0.027566344373585683,7.793762828978041,60.74273903435979,4472573,urad^2
"(3,3)-(8,8)",3,0.041349516560378524,6.363793955957071,40.497873513875746,4472571,urad^2
"(3,3)-(8,8)",4,0.055132688747171366,5.508407650675483,30.342554846020196,4472569,urad^2
"(3,3)-(8,8)",5,0.06891586093396421,4.926308846490784,24.26851885101336,4472567,urad^2
"(3,3)-(8,8)",6,0.08269903312075705,4.498368427037753,20.23531850537011,4472565,urad^2
"(3,3)-(8,8)",7,0.09648220530754989,4.166143380070101,17.356750663301924,4472563,urad^2
"(3,3)-(8,8)",9,0.12404854968113557,3.676690233675071,13.518051074401647,4472559,urad^2
"(3,3)-(8,8)",10,0.13783172186792841,3.48984515116984,12.179019179143642,4472557,urad^2
"(3,3)-(8,8)",11,0.15161489405472126,3.328317745415235,11.077699014445955,4472555,urad^2
"(3,3)-(8,8)",13,0.17918123842830694,3.0628352013239084,9.380959470468866,4472551,urad^2
"(3,3)-(8,8)",15,0.20674758280189262,2.852448207627548,8.13646077719761,4472547,urad^2
"(3,3)-(8,8)",18,0.24809709936227115,2.605397153122832,6.788094325500558,4472541,urad^2
"(3,3)-(8,8)",20,0.27566344373585683,2.472578515766985,6.113644516632466,4472537,urad^2
"(3,3)-(8,8)",23,0.3170129602962354,2.3072464944295437,5.323386386057419,4472531,urad^2
"(3,3)-(8,8)",27,0.37214564904340675,2.130419340997341,4.538686568495543,4472523,urad^2
"(3,3)-(8,8)",31,0.4272783377905781,1.9887649330498656,3.955185958928836,4472515,urad^2
"(3,3)-(8,8)",36,0.4961941987245423,1.845447715779938,3.405677271677391,4472505,urad^2
"(3,3)-(8,8)",41,0.5651100596585065,1.7290915565371148,2.989757610887942,4472495,urad^2
"(3,3)-(8,8)",47,0.6478090927792636,1.6151010512063833,2.6085514056079644,4472483,urad^2
"(3,3)-(8,8)",54,0.7442912980868135,1.5073160380036537,2.272001638423032,4472469,urad^2
"(3,3)-(8,8)",62,0.8545566755811562,1.407504717724322,1.9810695304162234,4472453,urad^2
"(3,3)-(8,8)",72,0.9923883974490846,1.307751970924104,1.7102152174558785,4472433,urad^2
"(4,3)-(8,7)",1,0.013783172186792841,11.812142797290784,139.52671746358854,4472575,urad^2
"(4,3)-(8,7)",2,0.027566344373585683,8.351238756231325,69.74318876358014,4472573,urad^2
"(4,3)-(8,7)",3,0.041349516560378524,6.8183696795668896,46.49016508723709,4472571,urad^2
"(4,3)-(8,7)",4,0.055132688747171366,5.902936102223449,34.844654626932964,4472569,urad^2
"(4,3)-(8,7)",5,0.06891586093396421,5.279895171883111,27.87729302607459,4472567,urad^2
"(4,3)-(8,7)",6,0.08269903312075705,4.821671549382453,23.24851653012418,4472565,urad^2
"(4,3)-(8,7)",7,0.09648220530754989,4.4650986952416165,19.937106358248386,4472563,urad^2
"(4,3)-(8,7)",9,0.12404854968113557,3.9398222926765634,15.522199697871212,4472559,urad^2
"(4,3)-(8,7)",10,0.13783172186792841,3.738884503732205,13.979257332248817,4472557,urad^2
"(4,3)-(8,7)",11,0.15161489405472126,3.5654470708667354,12.712412815152183,4472555,urad^2
"(4,3)-(8,7)",13,0.17918123842830694,3.2810917980320045,10.765563387112891,4472551,urad^2
"(4,3)-(8,7)",15,0.20674758280189262,3.05575352491919,9.337629605056055,4472547,urad^2
"(4,3)-(8,7)",18,0.24809709936227115,2.7908685233047996,7.788947114373512,4472541,urad^2
"(4,3)-(8,7)",20,0.27566344373585683,2.6486274786727915,7.015227520780588,4472537,urad^2
"(4,3)-(8,7)",23,0.3170129602962354,2.4712781364863825,6.1072156278756085,4472531,urad^2
"(4,3)-(8,7)",27,0.37214564904340675,2.281166110904796,5.203718825540511,4472523,urad^2
"(4,3)-(8,7)",31,0.4272783377905781,2.129467623571744,4.534632359840291,4472515,urad^2
"(4,3)-(8,7)",36,0.4961941987245423,1.9764358841513265,3.906298804161036,4472505,urad^2
"(4,3)-(8,7)",41,0.5651100596585065,1.8520930831837368,3.4302487887770403,4472495,urad^2
"(4,3)-(8,7)",47,0.6478090927792636,1.730207821023712,2.993619103931621,4472483,urad^2
"(4,3)-(8,7)",54,0.7442912980868135,1.6149641623138908,2.6081092455582073,4472469,urad^2
"(4,3)-(8,7)",62,0.8545566755811562,1.5080763226978489,2.274294195081866,4472453,urad^2
"(4,3)-(8,7)",72,0.9923883974490846,1.4010614166254158,1.9629730931564169,4472433,urad^2
"(3,4)-(7,8)",1,0.013783172186792841,11.912772729269886,141.9141540992363,4472575,urad^2
"(3,4)-(7,8)",2,0.027566344373585683,8.420707407829386,70.90831324827272,4472573,urad^2
"(3,4)-(7,8)",3,0.041349516560378524,6.877760455900755,47.30358888875216,4472571,urad^2
"(3,4)-(7,8)",4,0.055132688747171366,5.9539577953752465,35.44961342910967,4472569,urad^2
"(3,4)-(7,8)",5,0.06891586093396421,5.324632671026023,28.351713081357712,4472567,urad^2
"(3,4)-(7,8)",6,0.08269903312075705,4.861633105037068,23.635476447992364,4472565,urad^2
"(3,4)-(7,8)",7,0.09648220530754989,4.502745174093477,20.2747141028221,4472563,urad^2
"(3,4)-(7,8)",9,0.12404854968113557,3.9731850078028033,15.786199106228961,4472559,urad^2
"(3,4)-(7,8)",10,0.13783172186792841,3.770891780967939,14.219624823771554,4472557,urad^2
"(3,4)-(7,8)",11,0.15161489405472126,3.5962045352566574,12.93268705940055,4472555,urad^2
"(3,4)-(7,8)",13,0.17918123842830694,3.308868872213828,10.948613213505611,4472551,urad^2
"(3,4)-(7,8)",15,0.20674758280189262,3.081045030805783,9.492838481853008,4472547,urad^2
"(3,4)-(7,8)",18,0.24809709936227115,2.813684276927611,7.916819210229652,4472541,urad^2
"(3,4)-(7,8)",20,0.27566344373585683,2.6700947311119307,7.129405873111693,4472537,urad^2
"(3,4)-(7,8)",23,0.3170129602962354,2.491426450632025,6.207205758908891,4472531,urad^2
"(3,4)-(7,8)",27,0.37214564904340675,2.3009541681171175,5.294390083775536,4472523,urad^2
"(3,4)-(7,8)",31,0.4272783377905781,2.148655148260574,4.616718946146668,4472515,urad^2
"(3,4)-(7,8)",36,0.4961941987245423,1.9947322075267468,3.978956579744529,4472505,urad^2
"(3,4)-(7,8)",41,0.5651100596585065,1.8696407772011718,3.4955566357734016,4472495,urad^2
"(3,4)-(7,8)",47,0.6478090927792636,1.7466775993453152,3.0508826360547134,4472483,urad^2
"(3,4)-(7,8)",54,0.7442912980868135,1.6302970534079473,2.657868482350635,4472469,urad^2
"(3,4)-(7,8)",62,0.8545566755811562,1.5226176841524335,2.31836461209372,4472453,urad^2
"(3,4)-(7,8)",72,0.9923883974490846,1.4152085450987215,2.00281522612044,4472433,urad^2
"(5,4)-(8,7)",1,0.013783172186792841,11.333329304708862,128.44435312897264,4472575,urad^2
"(5,4)-(8,7)",2,0.027566344373585683,8.007958086056238,64.1273927080335,4472573,urad^2
"(5,4)-(8,7)",3,0.041349516560378524,6.537270955325915,42.7359115433478,4472571,urad^2
"(5,4)-(8,7)",4,0.055132688747171366,5.6590747816196965,32.02512738396402,4472569,urad^2
"(5,4)-(8,7)",5,0.06891586093396421,5.061907819120894,25.622910769277247,4472567,urad^2
"(5,4)-(8,7)",6,0.08269903312075705,4.622555390284249,21.368018336245964,4472565,urad^2
"(5,4)-(8,7)",7,0.09648220530754989,4.281717573407697,18.333105378428296,4472563,urad^2
"(5,4)-(8,7)",9,0.12404854968113557,3.77815594574963,14.274462350403283,4472559,urad^2
"(5,4)-(8,7)",10,0.13783172186792841,3.5854049079161,12.855128353708858,4472557,urad^2
"(5,4)-(8,7)",11,0.15161489405472126,3.419174855032802,11.69075668928858,4472555,urad^2
"(5,4)-(8,7)",13,0.17918123842830694,3.1468033293439874,9.902371193570405,4472551,urad^2
"(5,4)-(8,7)",15,0.20674758280189262,2.9312549261960448,8.59225544234858,4472547,urad^2
"(5,4)-(8,7)",18,0.24809709936227115,2.6785509168801465,7.174635014319474,4472541,urad^2
"(5,4)-(8,7)",20,0.27566344373585683,2.5433403053430617,6.468579908782538,4472537,urad^2
"(5,4)-(8,7)",23,0.3170129602962354,2.374842533817753,5.639877060429925,4472531,urad^2
"(5,4)-(8,7)",27,0.37214564904340675,2.1945114375927703,4.815880449725488,4472523,urad^2
"(5,4)-(8,7)",31,0.4272783377905781,2.0506588450828174,4.205201698916394,4472515,urad^2
"(5,4)-(8,7)",36,0.4961941987245423,1.9055316898950807,3.631051021194402,4472505,urad^2
"(5,4)-(8,7)",41,0.5651100596585065,1.787763969655186,3.1961000111972684,4472495,urad^2
"(5,4)-(8,7)",47,0.6478090927792636,1.6724707768434528,2.7971584993953424,4472483,urad^2
"(5,4)-(8,7)",54,0.7442912980868135,1.563548842515637,2.444684982931988,4472469,urad^2
"(5,4)-(8,7)",62,0.8545566755811562,1.4621670908982183,2.1379326017057587,4472453,urad^2
"(5,4)-(8,7)",72,0.9923883974490846,1.3610793010430238,1.8525368637277662,4472433,urad^2
"(4,5)-(7,8)",1,0.013783172186792841,11.236499925238325,126.2589305698809,4472575,urad^2
"(4,5)-(7,8)",2,0.027566344373585683,7.94186680641681,63.07324837086514,4472573,urad^2
"(4,5)-(7,8)",3,0.041349516560378524,6.485039581978476,42.05573837982756,4472571,urad^2
"(4,5)-(7,8)",4,0.055132688747171366,5.614452351021308,31.522075201888693,4472569,urad^2
"(4,5)-(7,8)",5,0.06891586093396421,5.021399619984894,25.214454143584437,4472567,urad^2
"(4,5)-(7,8)",6,0.08269903312075705,4.584399886558643,21.016722319878895,4472565,urad^2
"(4,5)-(7,8)",7,0.09648220530754989,4.245316160898768,18.022709305988254,4472563,urad^2
"(4,5)-(7,8)",9,0.12404854968113557,3.745837780347906,14.031300676681727,4472559,urad^2
"(4,5)-(7,8)",10,0.13783172186792841,3.5545632755366747,12.634920079794014,4472557,urad^2
"(4,5)-(7,8)",11,0.15161489405472126,3.3897497083443313,11.49040308522048,4472555,urad^2
"(4,5)-(7,8)",13,0.17918123842830694,3.1190712364018522,9.728605377749378,4472551,urad^2
"(4,5)-(7,8)",15,0.20674758280189262,2.904935976758846,8.438653029067869,4472547,urad^2
"(4,5)-(7,8)",18,0.24809709936227115,2.653755128042889,7.042416279613931,4472541,urad^2
"(4,5)-(7,8)",20,0.27566344373585683,2.5192854959226265,6.346799409966114,4472537,urad^2
"(4,5)-(7,8)",23,0.3170129602962354,2.351952642457933,5.531681232364853,4472531,urad^2
"(4,5)-(7,8)",27,0.37214564904340675,2.173798249294715,4.725398828636768,4472523,urad^2
"(4,5)-(7,8)",31,0.4272783377905781,2.031565203070923,4.127257174328601,4472515,urad^2
"(4,5)-(7,8)",36,0.4961941987245423,1.8881464880249796,3.5650971602410646,4472505,urad^2
"(4,5)-(7,8)",41,0.5651100596585065,1.7714252655632616,3.1379474714758717,4472495,urad^2
"(4,5)-(7,8)",47,0.6478090927792636,1.657053822647904,2.7458273711520307,4472483,urad^2
"(4,5)-(7,8)",54,0.7442912980868135,1.5486429828648443,2.398295088376522,4472469,urad^2
"(4,5)-(7,8)",62,0.8545566755811562,1.4485891177170265,2.098410431968193,4472453,urad^2
"(4,5)-(7,8)",72,0.9923883974490846,1.349273250178167,1.8205383036463545,4472433,urad^2
"(3,5)-(6,8)",1,0.013783172186792841,11.10295627271298,123.2756379937765,4472575,urad^2
"(3,5)-(6,8)",2,0.027566344373585683,7.848631097947339,61.60101011166605,4472573,urad^2
"(3,5)-(6,8)",3,0.041349516560378524,6.411179516191084,41.10322278882815,4472571,urad^2
"(3,5)-(6,8)",4,0.055132688747171366,5.549492378058309,30.796865654127267,4472569,urad^2
"(3,5)-(6,8)",5,0.06891586093396421,4.9626205927326295,24.627603147413957,4472567,urad^2
"(3,5)-(6,8)",6,0.08269903312075705,4.530745853489952,20.527657988916392,4472565,urad^2
"(3,5)-(6,8)",7,0.09648220530754989,4.19599823778364,17.606401211483416,4472563,urad^2
"(3,5)-(6,8)",9,0.12404854968113557,3.702851375270521,13.711108307342789,4472559,urad^2
"(3,5)-(6,8)",10,0.13783172186792841,3.514133863465459,12.349136810354672,4472557,urad^2
"(3,5)-(6,8)",11,0.15161489405472126,3.351379141528629,11.23174215027317,4472555,urad^2
"(3,5)-(6,8)",13,0.17918123842830694,3.0834956874957973,9.507945654805178,4472551,urad^2
"(3,5)-(6,8)",15,0.20674758280189262,2.8712844070291283,8.244274146048612,4472547,urad^2
"(3,5)-(6,8)",18,0.24809709936227115,2.621785131276077,6.873757274580316,4472541,urad^2
"(3,5)-(6,8)",20,0.27566344373585683,2.4878141724291605,6.189219356539388,4472537,urad^2
"(3,5)-(6,8)",23,0.3170129602962354,2.3208881196949895,5.386521664141344,4472531,urad^2
"(3,5)-(6,8)",27,0.37214564904340675,2.143022679815064,4.592546206201738,4472523,urad^2
"(3,5)-(6,8)",31,0.4272783377905781,2.000831993943404,4.003328667987537,4472515,urad^2
"(3,5)-(6,8)",36,0.4961941987245423,1.8571785509692684,3.4491121701803116,4472505,urad^2
"(3,5)-(6,8)",41,0.5651100596585065,1.7403096703855623,3.028677748837504,4472495,urad^2
"(3,5)-(6,8)",47,0.6478090927792636,1.625751773491805,2.643068829011749,4472483,urad^2
"(3,5)-(6,8)",54,0.7442912980868135,1.5173331736198203,2.302299959767196,4472469,urad^2
"(3,5)-(6,8)",62,0.8545566755811562,1.4170435084556203,2.008012304856214,4472453,urad^2
"(3,5)-(6,8)",72,0.9923883974490846,1.3171935134162314,1.7349987517857957,4472433,urad^2
"(5,5)-(8,8)",1,0.013783172186792841,10.699498025347824,114.47925799442199,4472575,urad^2
"(5,5)-(8,8)",2,0.027566344373585683,7.5570964642327665,57.109706969719376,4472573,urad^2
"(5,5)-(8,8)",3,0.041349516560378524,6.17057867658811,38.07604120396387,4472571,urad^2
"(5,5)-(8,8)",4,0.055132688747171366,5.342900019549812,28.54658061890538,4472569,urad^2
"(5,5)-(8,8)",5,0.06891586093396421,4.779293568282525,22.84164701182671,4472567,urad^2
"(5,5)-(8,8)",6,0.08269903312075705,4.364252545557275,19.046700281403158,4472565,urad^2
"(5,5)-(8,8)",7,0.09648220530754989,4.042114200613124,16.338687210798273,4472563,urad^2
"(5,5)-(8,8)",9,0.12404854968113557,3.5676677605946585,12.728253249986505,4472559,urad^2
"(5,5)-(8,8)",10,0.13783172186792841,3.3860792721186774,11.465532837071752,4472557,urad^2
"(5,5)-(8,8)",11,0.15161489405472126,3.22966971335065,10.430766457334471,4472555,urad^2
"(5,5)-(8,8)",13,0.17918123842830694,2.972968044409461,8.838538993079814,4472551,urad^2
"(5,5)-(8,8)",15,0.20674758280189262,2.769943759076321,7.672588428445859,4472547,urad^2
"(5,5)-(8,8)",18,0.24809709936227115,2.5318097952767693,6.410060839459396,4472541,urad^2
"(5,5)-(8,8)",20,0.27566344373585683,2.404655131817376,5.782366302975642,4472537,urad^2
"(5,5)-(8,8)",23,0.3170129602962354,2.246888020267654,5.048505775622298,4472531,urad^2
"(5,5)-(8,8)",27,0.37214564904340675,2.0790647692494852,4.322510314734416,4472523,urad^2
"(5,5)-(8,8)",31,0.4272783377905781,1.9451700375825103,3.7836864751087442,4472515,urad^2
"(5,5)-(8,8)",36,0.4961941987245423,1.810628059900884,3.278373971300439,4472505,urad^2
"(5,5)-(8,8)",41,0.5651100596585065,1.7014468669913987,2.894921441194846,4472495,urad^2
"(5,5)-(8,8)",47,0.6478090927792636,1.5950418418720755,2.544158477322663,4472483,urad^2
"(5,5)-(8,8)",54,0.7442912980868135,1.494913317241911,2.234765826067214,4472469,urad^2
"(5,5)-(8,8)",62,0.8545566755811562,1.4028620371632095,1.9680218953137099,4472453,urad^2
"(5,5)-(8,8)",72,0.9923883974490846,1.3121313441704725,1.7216886643546108,4472433,urad^2
"(3,2)-(8,7)",1,0.013783172186792841,10.176040602984402,103.55180235358715,4472575,urad^2
"(3,2)-(8,7)",2,0.027566344373585683,7.193171803505836,51.74172059475139,4472573,urad^2
"(3,2)-(8,7)",3,0.041349516560378524,5.872041134767248,34.48086708839863,4472571,urad^2
"(3,2)-(8,7)",4,0.055132688747171366,5.083219527850762,25.83912076832332,4472569,urad^2
"(3,2)-(8,7)",5,0.06891586093396421,4.546747648041261,20.67291417496874,4472567,urad^2
"(3,2)-(8,7)",6,0.08269903312075705,4.151864641573494,17.2379800019482,4472565,urad^2
"(3,2)-(8,7)",7,0.09648220530754989,3.8446189418787107,14.781094808252577,4472563,urad^2
"(3,2)-(8,7)",9,0.12404854968113557,3.3914990626200656,11.502265891752785,4472559,urad^2
"(3,2)-(8,7)",10,0.13783172186792841,3.218612728634794,10.359467896929916,4472557,urad^2
"(3,2)-(8,7)",11,0.15161489405472126,3.069434023507347,9.421425224664501,4472555,urad^2
"(3,2)-(8,7)",13,0.17918123842830694,2.824572856429693,7.978211821279393,4472551,urad^2
"(3,2)-(8,7)",15,0.20674758280189262,2.630597567550608,6.920043562403176,4472547,urad^2
"(3,2)-(8,7)",18,0.24809709936227115,2.4024819369129595,5.771919457193046,4472541,urad^2
"(3,2)-(8,7)",20,0.27566344373585683,2.2797321970685123,5.197178890350825,4472537,urad^2
"(3,2)-(8,7)",23,0.3170129602962354,2.1271277904499604,4.52467263690453,4472531,urad^2
"(3,2)-(8,7)",27,0.37214564904340675,1.9643927646777484,3.8588389339182876,4472523,urad^2
"(3,2)-(8,7)",31,0.4272783377905781,1.834414772843681,3.3650775588271338,4472515,urad^2
"(3,2)-(8,7)",36,0.4961941987245423,1.703242950875563,2.9010365497072956,4472505,urad^2
"(3,2)-(8,7)",41,0.5651100596585065,1.5970336105227774,2.550516353139418,4472495,urad^2
"(3,2)-(8,7)",47,0.6478090927792636,1.4926269916362351,2.2279353361610377,4472483,urad^2
"(3,2)-(8,7)",54,0.7442912980868135,1.3940367798171927,1.943338543483088,4472469,urad^2
"(3,2)-(8,7)",62,0.8545566755811562,1.302935027064775,1.6976396847522863,4472453,urad^2
"(3,2)-(8,7)",72,0.9923883974490846,1.2120066555178213,1.4689601330194946,4472433,urad^2
