time_s,Tmax_K,Tavg_K
0.0007,298.79465259526,293.036257238323
0.00071,298.801687773106,293.036548992673
0.00072,298.808722950952,293.036840747022
0.00073,298.815758128798,293.037132501372
0.00074,298.822793306644,293.037424255722
0.00075,298.82982848449,293.037716010072
0.00076,298.836863662336,293.038007764421
0.00077,298.843898840182,293.038299518771
0.00078,298.850934018028,293.03859127312
0.00079,298.857969195874,293.03888302747
0.0008,298.86500437372,293.03917478182
0.00081,298.872039551566,293.03946653617
0.00082,298.879074729412,293.039758290519
0.00083,298.886109907258,293.040050044869
0.00084,298.893145085104,293.04034179922
0.00085,298.90018026295,293.040633553569
0.00086,298.907215440796,293.040925307918
0.00087,298.914250618642,293.041217062268
0.00088,298.921285796487,293.041508816618
0.00089,298.928320974333,293.041800570968
0.0009,298.935356152179,293.042092325318
0.00091,298.942391330025,293.042384079667
0.00092,298.949426507871,293.042675834016
0.00093,298.956461685717,293.042967588365
0.00094,298.963496863563,293.043259342716
0.00095,298.970532041409,293.043551097066
0.00096,298.977567219255,293.043842851415
0.00097,298.984602397101,293.044134605765
0.00098,298.991637574947,293.044426360114
0.00099,298.998672752793,293.044718114464
0.001,299.005707930639,293.045009868814
0.00101,299.012743108485,293.045301623163
0.00102,299.019778286331,293.045593377513
0.00103,299.026813464177,293.045885131863
0.00104,299.033848642023,293.046176886211
0.00105,299.040883819869,293.046468640562
0.00106,299.047918997715,293.046760394911
0.00107,299.054954175561,293.047052149261
0.00108,299.061989353407,293.04734390361
0.00109,299.069024531253,293.04763565796
0.0011,299.076059709098,293.04792741231
0.00111,299.083094886944,293.04821916666
0.00112,299.09013006479,293.04851092101
0.00113,299.097165242636,293.048802675359
0.00114,299.104200420482,293.049094429709
0.00115,299.107291899263,293.049286502792
0.00116,299.110379936137,293.049478488877
0.00117,299.113467973011,293.049670474963
0.00118,299.116556009884,293.049862461048
0.00119,299.119644046758,293.050054447134
0.0012,299.122732083632,293.05024643322
0.00121,299.125820120506,293.050438419305
0.00122,299.12890815738,293.05063040539
0.00123,299.131996194253,293.050822391475
0.00124,299.135084231127,293.051014377561
0.00125,299.138172268001,293.051206363647
0.00126,299.141260304875,293.051398349732
0.00127,299.144348341749,293.051590335817
0.00128,299.147436378623,293.051782321902
0.00129,299.150524415496,293.051974307989
0.0013,299.15361245237,293.052166294074
0.00131,299.156700489244,293.052358280159
0.00132,299.159788526118,293.052550266245
0.00133,299.162876562991,293.052742252329
0.00134,299.165964599865,293.052934238415
0.00135,299.169052636739,293.053126224501
0.00136,299.172140673613,293.053318210586
0.00137,299.175228710487,293.053510196671
0.00138,299.178316747361,293.053702182758
0.00139,299.181404784234,293.053894168843
0.0014,299.184492821108,293.054086154928
0.00141,299.187580857982,293.054278141013
0.00142,299.190668894856,293.054470127098
0.00143,299.19375693173,293.054662113184
0.00144,299.196844968603,293.05485409927
0.00145,299.199933005477,293.055046085354
0.00146,299.203021042351,293.05523807144
0.00147,299.206109079225,293.055430057526
0.00148,299.209197116099,293.055622043612
0.00149,299.212285152972,293.055814029697
0.0015,299.215373189846,293.056006015783
0.00151,299.21846122672,293.056198001867
0.00152,299.221549263594,293.056389987952
0.00153,299.224637300468,293.056581974039
0.00154,299.227725337341,293.056773960125
0.00155,299.230813374215,293.05696594621
0.00156,299.233901411089,293.057157932296
0.00157,299.236989447963,293.05734991838
0.00158,299.240077484837,293.057541904466
0.00159,299.24316552171,293.057733890551
0.0016,299.246253558584,293.057925876637
0.00161,299.249341595458,293.058117862722
0.00162,299.252429632332,293.058309848808
0.00163,299.255517669206,293.058501834893
0.00164,299.258605706079,293.058693820978
0.00165,299.259969217409,293.058818797509
0.00166,299.261331223641,293.058943715555
0.00167,299.262693229872,293.059068633602
0.00168,299.264055236103,293.05919355165
0.00169,299.265417242334,293.059318469696
0.0017,299.266779248566,293.059443387743
0.00171,299.268141254797,293.059568305791
0.00172,299.269503261028,293.059693223837
0.00173,299.270865267259,293.059818141884
0.00174,299.272227273491,293.059943059931
0.00175,299.273589279722,293.060067977978
0.00176,299.274951285953,293.060192896025
0.00177,299.276313292184,293.060317814072
0.00178,299.277675298416,293.060442732119
0.00179,299.279037304647,293.060567650165
0.0018,299.280399310878,293.060692568213
0.00181,299.281761317109,293.06081748626
0.00182,299.283123323341,293.060942404306
0.00183,299.284485329572,293.061067322353
0.00184,299.285847335803,293.061192240401
0.00185,299.287209342034,293.061317158447
0.00186,299.288571348266,293.061442076494
0.00187,299.289933354497,293.061566994541
0.00188,299.291295360728,293.061691912588
0.00189,299.292657366959,293.061816830635
0.0019,299.294019373191,293.061941748682
0.00191,299.295381379422,293.062066666729
0.00192,299.296743385653,293.062191584776
0.00193,299.298105391884,293.062316502823
0.00194,299.299467398116,293.06244142087
0.00195,299.300829404347,293.062566338917
0.00196,299.302191410578,293.062691256963
0.00197,299.303553416809,293.062816175011
0.00198,299.304915423041,293.062941093057
0.00199,299.306277429272,293.063066011104
0.002,299.307639435503,293.063190929152
0.00201,299.309001441734,293.063315847199
0.00202,299.310363447966,293.063440765245
0.00203,299.311725454197,293.063565683292
0.00204,299.313087460428,293.063690601339
0.00205,299.314449466659,293.063815519386
0.00206,299.315811472891,293.063940437433
0.00207,299.317173479122,293.06406535548
0.00208,299.318535485353,293.064190273527
0.00209,299.319897491584,293.064315191574
0.0021,299.321259497816,293.064440109621
0.00211,299.322621504047,293.064565027668
0.00212,299.323983510278,293.064689945716
0.00213,299.325345516509,293.064814863762
0.00214,299.326707522741,293.064939781809
0.00215,299.327367198936,293.065020905436
0.00216,299.328026262164,293.065101990844
0.00217,299.328685325393,293.065183076249
0.00218,299.329344388622,293.065264161656
0.00219,299.330003451851,293.065345247062
0.0022,299.330662515079,293.065426332468
0.00221,299.331321578308,293.065507417875
0.00222,299.331980641537,293.065588503281
0.00223,299.332639704765,293.065669588688
0.00224,299.333298767994,293.065750674093
0.00225,299.333957831223,293.0658317595
0.00226,299.334616894452,293.065912844906
0.00227,299.33527595768,293.065993930312
0.00228,299.335935020909,293.066075015718
0.00229,299.336594084138,293.066156101125
0.0023,299.337253147366,293.066237186531
0.00231,299.337912210595,293.066318271937
0.00232,299.338571273824,293.066399357344
0.00233,299.339230337052,293.06648044275
0.00234,299.339889400281,293.066561528155
0.00235,299.34054846351,293.066642613562
0.00236,299.341207526739,293.066723698968
0.00237,299.341866589967,293.066804784374
0.00238,299.342525653196,293.066885869781
0.00239,299.343184716425,293.066966955187
0.0024,299.343843779653,293.067048040593
0.00241,299.344502842882,293.067129125998
0.00242,299.345161906111,293.067210211406
0.00243,299.34582096934,293.067291296811
0.00244,299.346480032568,293.067372382218
0.00245,299.347139095797,293.067453467624
0.00246,299.347798159026,293.06753455303
0.00247,299.348457222254,293.067615638437
0.00248,299.349116285483,293.067696723844
0.00249,299.349775348712,293.067777809249
0.0025,299.350434411941,293.067858894655
0.00251,299.351093475169,293.067939980061
0.00252,299.351752538398,293.068021065468
0.00253,299.352411601627,293.068102150874
0.00254,299.353070664855,293.068183236281
0.00255,299.353729728084,293.068264321687
0.00256,299.354388791313,293.068345407093
0.00257,299.355047854541,293.0684264925
0.00258,299.35570691777,293.068507577905
0.00259,299.356365980999,293.068588663311
0.0026,299.357025044228,293.068669748717
0.00261,299.357684107456,293.068750834124
0.00262,299.358343170685,293.068831919531
0.00263,299.359002233914,293.068913004937
0.00264,299.359661297142,293.068994090343
0.00265,299.360014667848,293.069046706422
0.00266,299.360367771757,293.069099297652
0.00267,299.360720875665,293.069151888884
0.00268,299.361073979574,293.069204480116
0.00269,299.361427083483,293.069257071347
0.0027,299.361780187392,293.069309662578
0.00271,299.362133291301,293.069362253811
0.00272,299.36248639521,293.069414845042
0.00273,299.362839499118,293.069467436274
0.00274,299.363192603027,293.069520027505
0.00275,299.363545706936,293.069572618736
0.00276,299.363898810845,293.069625209969
0.00277,299.364251914754,293.0696778012
0.00278,299.364605018663,293.069730392431
0.00279,299.364958122571,293.069782983662
0.0028,299.36531122648,293.069835574894
0.00281,299.365664330389,293.069888166125
0.00282,299.366017434298,293.069940757358
0.00283,299.366370538207,293.069993348588
0.00284,299.366723642116,293.07004593982
0.00285,299.367076746024,293.070098531051
0.00286,299.367429849933,293.070151122283
0.00287,299.367782953842,293.070203713515
0.00288,299.368136057751,293.070256304746
0.00289,299.36848916166,293.070308895978
0.0029,299.368842265569,293.070361487209
0.00291,299.369195369477,293.070414078441
0.00292,299.369548473386,293.070466669672
0.00293,299.369901577295,293.070519260904
0.00294,299.370254681204,293.070571852136
0.00295,299.370607785113,293.070624443367
0.00296,299.370960889021,293.070677034598
0.00297,299.37131399293,293.07072962583
0.00298,299.371667096839,293.070782217061
0.00299,299.372020200748,293.070834808293
0.003,299.372373304657,293.070887399525
0.00301,299.372726408566,293.070939990756
0.00302,299.373079512474,293.070992581988
0.00303,299.373432616383,293.071045173219
0.00304,299.373785720292,293.07109776445
0.00305,299.374138824201,293.071150355683
0.00306,299.37449192811,293.071202946914
