tap_index,coefficient
123,-0.0018856824955282105
124,-0.0008828135467149544
125,0.0001927134695075726
126,0.0007996320940639776
127,0.0006755094447952362
128,-3.949236525143712e-18
129,-0.000700644260542742
130,-0.0008602485486212335
131,-0.00021503852999393198
132,0.0010217579366557776
133,0.0022637486593457476
134,0.002882145458006654
135,0.0025745130229644525
136,0.0015529129820577965
137,0.00043268274797230843
138,-0.0001225174643365037
139,0.00020377058147740156
140,0.0011794450447052047
141,0.0021439523189349255
142,0.0023898183936981532
143,0.0015872775051248408
144,-7.675920750818982e-18
145,-0.0016445417393137582
146,-0.002565374281835898
147,-0.0023845052158539466
148,-0.0013591377117940222
149,-0.00024329707275153923
150,0.00015156951577323177
151,-0.0005546416785033684
152,-0.002062678207594056
153,-0.003543521404829366
154,-0.004110810361710424
155,-0.0033460245068500255
156,-0.0015651569864309706
157,0.0003413945520999506
158,0.0014155263932986543
159,0.0011950070809465597
160,-5.2366465228941655e-18
161,-0.0012380699364542428
162,-0.0015193917197483368
163,-0.00037965596540719707
164,0.0018033522672103656
165,0.003994389167273708
166,0.005084629008484868
167,0.00454142203384705
168,0.002739240096952583
169,0.0007632595415823356
170,-0.00021614963572127007
171,0.00035957270813666433
172,0.0020818398305145
173,0.003785694146846412
174,0.0042217582377421636
175,0.002805546765278969
176,-9.697110251785395e-18
177,-0.002910717298401964
178,-0.00454424891258143
179,-0.004227737040220941
180,-0.0024122073865824154
181,-0.0004322887111055258
182,0.00026963748670172594
183,-0.0009880050390117581
184,-0.003679633792642059
185,-0.006331174371189213
186,-0.0073570530943976925
187,-0.00599909193635523
188,-0.002811568328633854
189,0.0006145225252887903
190,0.002553569431805693
191,0.0021607703510729613
192,-6.328060018887804e-18
193,-0.0022500306195410605
194,-0.002768944063857931
195,-0.0006939126294294789
196,0.003306258588423272
197,0.007347212407393369
198,0.009384792195794925
199,0.008412608999079819
200,0.005093613085855479
201,0.001424991085532161
202,-0.0004052557765233459
203,0.0006771594153662481
204,0.003938944913793063
205,0.007197967761743945
206,0.008068590807895066
207,0.005391071649694641
208,-1.1244061723165614e-17
209,-0.005658826416695523
210,-0.00889029420321363
211,-0.008325827438084186
212,-0.004783486218506246
213,-0.0008635094645873086
214,0.0005427478956822092
215,-0.0020048053136013464
216,-0.0075299693950800035
217,-0.013071926291198308
218,-0.01533305536281144
219,-0.012626858399448602
220,-0.005979608160649351
221,0.0013213583158357242
222,0.005554566161067652
223,0.004757840558288195
224,-7.057319202047571e-18
225,-0.005087525739614229
226,-0.006351801222753895
227,-0.0016163096685944925
228,0.007827017201002413
229,0.017695302374873757
230,0.023020240888753235
231,0.021041755773588706
232,0.013007906870844663
233,0.0037208508806827905
234,-0.0010836484240802982
235,0.0018575078321992422
236,0.011105384433029537
237,0.020902877441265986
238,0.024192239094766227
239,0.01673425429777095
240,-1.2081265826592009e-17
241,-0.019007681163785754
242,-0.03124286229096151
243,-0.03075472728712911
244,-0.018674257761994155
245,-0.003585782412688539
246,0.0024160376570070766
247,-0.009657984068561436
248,-0.03972411531899271
249,-0.07666843829625013
250,-0.10199813889075286
251,-0.09792198399228809
252,-0.05627189845216794
253,0.016083034920892154
254,0.09829355118780689
255,0.16307077692962302
256,0.18761104658030758
257,0.16307077692962302
258,0.09829355118780689
259,0.016083034920892154
260,-0.05627189845216794
261,-0.09792198399228809
262,-0.10199813889075286
263,-0.07666843829625013
264,-0.03972411531899271
265,-0.009657984068561436
266,0.0024160376570070766
267,-0.003585782412688539
268,-0.018674257761994155
269,-0.03075472728712911
270,-0.03124286229096151
271,-0.019007681163785754
272,-1.2081265826592009e-17
273,0.01673425429777095
274,0.024192239094766227
275,0.020902877441265986
276,0.011105384433029537
277,0.0018575078321992422
278,-0.0010836484240802982
279,0.0037208508806827905
280,0.013007906870844663
281,0.021041755773588706
282,0.023020240888753235
283,0.017695302374873757
284,0.007827017201002413
285,-0.0016163096685944925
286,-0.006351801222753895
287,-0.005087525739614229
288,-7.057319202047571e-18
289,0.004757840558288195
290,0.005554566161067652
291,0.0013213583158357242
292,-0.005979608160649351
293,-0.012626858399448602
294,-0.01533305536281144
295,-0.013071926291198308
296,-0.0075299693950800035
297,-0.0020048053136013464
298,0.0005427478956822092
299,-0.0008635094645873086
300,-0.004783486218506246
301,-0.008325827438084186
302,-0.00889029420321363
303,-0.005658826416695523
304,-1.1244061723165614e-17
305,0.005391071649694641
306,0.008068590807895066
307,0.007197967761743945
308,0.003938944913793063
309,0.0006771594153662481
310,-0.0004052557765233459
311,0.001424991085532161
312,0.005093613085855479
313,0.008412608999079819
314,0.009384792195794925
315,0.007347212407393369
316,0.003306258588423272
317,-0.0006939126294294789
318,-0.002768944063857931
319,-0.0022500306195410605
320,-6.328060018887804e-18
321,0.0021607703510729613
322,0.002553569431805693
323,0.0006145225252887903
324,-0.002811568328633854
325,-0.00599909193635523
326,-0.0073570530943976925
327,-0.006331174371189213
328,-0.0036796337926420595
329,-0.0009880050390117581
330,0.000269637486701726
331,-0.0004322887111055258
332,-0.0024122073865824145
333,-0.004227737040220941
334,-0.00454424891258143
335,-0.002910717298401964
336,-9.697110251785395e-18
337,0.0028055467652789694
338,0.0042217582377421636
339,0.0037856941468464127
340,0.0020818398305145
341,0.0003595727081366644
342,-0.00021614963572127007
343,0.0007632595415823355
344,0.002739240096952583
345,0.004541422033847049
346,0.005084629008484868
347,0.003994389167273708
348,0.0018033522672103663
349,-0.00037965596540719707
350,-0.0015193917197483372
351,-0.0012380699364542428
352,-5.236646522894167e-18
353,0.0011950070809465597
354,0.001415526393298654
355,0.00034139455209995063
356,-0.0015651569864309702
357,-0.003346024506850026
358,-0.004110810361710424
359,-0.0035435214048293666
360,-0.002062678207594056
361,-0.0005546416785033685
362,0.00015156951577323177
363,-0.00024329707275153915
364,-0.0013591377117940222
365,-0.0023845052158539457
366,-0.0025653742818358984
367,-0.001644541739313758
368,-7.675920750818982e-18
369,0.0015872775051248406
370,0.0023898183936981537
371,0.0021439523189349255
372,0.0011794450447052051
373,0.00020377058147740156
374,-0.00012251746433650365
375,0.00043268274797230843
376,0.0015529129820577958
377,0.002574513022964453
378,0.002882145458006653
379,0.002263748659345748
380,0.0010217579366557773
381,-0.00021503852999393204
382,-0.0008602485486212335
383,-0.0007006442605427422
384,-3.949236525143712e-18
385,0.0006755094447952359
386,0.0007996320940639776
387,0.00019271346950757253
388,-0.0008828135467149545
389,-0.0018856824955282101
390,-0.0023145598585556275
391,-0.0019932009443111055
392,-0.001159034700321673
393,-0.00031131541334754195
394,8.497627874201284e-05
395,-0.00013623708164420606
396,-0.0007600981937563156
397,-0.0013317655829157796
398,-0.0014308011827125987
399,-0.0009159010285087826
400,-5.488200999660058e-18
401,0.0008813246351174885
402,0.0013248074919508883
403,0.0011865469070786482
404,0.0006516385097157668
405,0.0001123847355502406
406,-6.74494572409506e-05
407,0.00023776213506267765
408,0.0008517088388217189
409,0.001409251624596558
410,0.0015744812339532643
411,0.0012341185923414601
412,0.0005558568824909826
413,-0.00011673388596712438
414,-0.0004659614101982559
415,-0.0003786594504131911
416,-2.6618265273932582e-18
417,0.00036339065530658824
418,0.00042913992406326377
419,0.00010317347222003435
420,-0.0004714692910264332
421,-0.0010045299562598206
422,-0.0012298563624073959
423,-0.0010563571392114349
424,-0.0006126496938027122
425,-0.0001641176243766548
426,4.467599168279989e-05
427,-7.142942801043391e-05
428,-0.0003974117822585466
429,-0.0006943401715629429
430,-0.000743844191562767
431,-0.0004747823838186716
432,-1.261050063631374e-17
433,0.0004541781840797124
434,0.0006806834249743134
435,0.0006078084456515627
436,0.0003327867273968018
437,5.721800579274079e-05
438,-3.423413869328243e-05
439,0.00012030104256536151
440,0.0004295904566329174
441,0.000708566610304119
442,0.0007891346791152015
443,0.0006165749379479524
444,0.00027682301044993046
445,-5.7948526774536685e-05
446,-0.0002305679308179806
447,-0.00018676684108780722
448,-1.570413031399621e-18
449,0.00017808606443744511
450,0.00020963380100721791
451,5.023902748480962e-05
452,-0.00022884620921578158
453,-0.00048604733486583545
454,-0.0005932061594301026
455,-0.0005079371372519923
456,-0.00029367972141389057
457,-7.843258175647039e-05
458,2.1287006563586942e-05
459,-3.393430230044111e-05
460,-0.0001882560627178862
461,-0.00032798589277903027
462,-0.0003504054584078925
463,-0.00022306132522138241
464,2.3646438298463e-18
