Frequency_Hz,Frequency_MHz,20260515_092941,20260526_141535,20260526_142458
75931724.548339844,75.931724548340,9.5449755659025656e-06,4.7840167016518572e-05,5.9701436669287081e-07
75931869.506835938,75.931869506836,1.4044090709680433e-05,4.6283820042513465e-05,4.6691441327399823e-07
75932014.465332031,75.932014465332,1.5048727513570348e-05,6.3290192429581017e-05,4.5616230138492646e-07
75932159.423828125,75.932159423828,1.3612284576533118e-05,6.1143477345032744e-05,4.8953168167959717e-07
75932304.382324219,75.932304382324,1.2771313848102883e-05,4.8883389465320691e-05,4.9777407429677186e-07
75932449.340820312,75.932449340820,1.3421262652512741e-05,5.5580842391882188e-05,5.3642232300021201e-07
75932594.299316406,75.932594299316,1.0186250336495411e-05,5.5088297276122703e-05,5.4847812123221849e-07
75932739.2578125,75.932739257812,1.0804463568500051e-05,4.1199759708059018e-05,6.5221356907121235e-07
75932884.216308594,75.932884216309,1.2080513467769432e-05,4.6301523656702056e-05,5.2937947349162527e-07
75933029.174804688,75.933029174805,1.3849673111510161e-05,5.2887221258579096e-05,5.6424820610009313e-07
75933174.133300781,75.933174133301,1.2882765493704055e-05,5.6206993361147242e-05,5.5244012099822881e-07
75933319.091796875,75.933319091797,9.3870661509404773e-06,4.2271946559171643e-05,5.8732066694215133e-07
75933464.050292969,75.933464050293,1.2282447734278338e-05,4.5174885970156266e-05,4.853509768812358e-07
75933609.008789062,75.933609008789,1.3171526012689243e-05,6.4302262607364519e-05,4.9842716435416452e-07
75933753.967285156,75.933753967285,9.4396656649708806e-06,5.8821283632032762e-05,5.5280155016905479e-07
75933898.92578125,75.933898925781,1.1086657491177331e-05,5.3119094926003802e-05,5.4659560488772634e-07
75934043.884277344,75.934043884277,7.8416079008262128e-06,5.9587381764067926e-05,3.5969755700943611e-07
75934188.842773438,75.934188842773,1.0780863588734027e-05,5.2668012191395562e-05,5.4775746545264111e-07
75934333.801269531,75.934333801270,1.5649060452609046e-05,5.2548610796196687e-05,5.5444865084490882e-07
75934478.759765625,75.934478759766,1.2118445552439952e-05,5.764976246873749e-05,4.5670993148678754e-07
75934623.718261719,75.934623718262,1.1596364122899523e-05,5.711335175525848e-05,4.3211576011725801e-07
75934768.676757812,75.934768676758,1.0896279824434715e-05,6.4873633008306024e-05,4.3584610672521101e-07
75934913.635253906,75.934913635254,1.239034265189718e-05,7.6274209562663591e-05,4.7542416022930739e-07
75935058.59375,75.935058593750,1.2303802537436264e-05,6.5819631897423521e-05,5.7554169370287692e-07
75935203.552246094,75.935203552246,1.3407553129013445e-05,5.8210456164137659e-05,5.183799956013152e-07
75935348.510742188,75.935348510742,1.2367659484399992e-05,5.7545736077596091e-05,4.9339176597527596e-07
75935493.469238281,75.935493469238,1.1547584449244138e-05,5.0192985586688329e-05,5.3917993715028876e-07
75935638.427734375,75.935638427734,1.1881159903742708e-05,7.0367365190709703e-05,7.3744163993402681e-07
75935783.386230469,75.935783386230,1.1291805604431161e-05,4.9983832337476529e-05,7.1490329758620305e-07
75935928.344726562,75.935928344727,1.1384610043813462e-05,5.7179787776553066e-05,4.3584234388622965e-07
75936073.303222656,75.936073303223,1.1693141680212331e-05,7.5791807386790745e-05,4.2374541954508108e-07
75936218.26171875,75.936218261719,1.2546145670683201e-05,8.0323453019999724e-05,5.4878086484308649e-07
75936363.220214844,75.936363220215,8.9476932469851156e-06,6.1978657934870087e-05,6.5801530527884349e-07
75936508.178710938,75.936508178711,8.0313927649548165e-06,5.494257025088856e-05,5.6141962848503858e-07
75936653.137207031,75.936653137207,9.9991750301133671e-06,5.1394395424508353e-05,6.0614213511231092e-07
75936798.095703125,75.936798095703,9.0839348564612007e-06,5.4710892473145004e-05,5.9167473135280332e-07
75936943.054199219,75.936943054199,1.2078035843982652e-05,4.8548271926460329e-05,5.406665054109912e-07
75937088.012695312,75.937088012695,1.1018667804253934e-05,5.3404888716607378e-05,4.6597519283412435e-07
75937232.971191406,75.937232971191,1.1326945504951866e-05,5.2012517480382238e-05,6.6533429234575217e-07
75937377.9296875,75.937377929688,1.3264560741662961e-05,4.6980034509857097e-05,6.3177043437948774e-07
75937522.888183594,75.937522888184,1.2749857579078969e-05,4.7034205448976188e-05,4.6496222532391194e-07
75937667.846679688,75.937667846680,1.4796592033288793e-05,4.9677591126777395e-05,5.6519960070391269e-07
75937812.805175781,75.937812805176,1.1891389076359545e-05,3.3690521232299527e-05,5.3474189722188153e-07
75937957.763671875,75.937957763672,1.1290160464685107e-05,2.6474520907927294e-05,6.1976210471709708e-07
75938102.722167969,75.938102722168,1.0612264360321731e-05,3.5689489248224368e-05,6.1728718236618122e-07
75938247.680664062,75.938247680664,1.0914151494873591e-05,4.4163222048817874e-05,7.6517371715109792e-07
75938392.639160156,75.938392639160,1.188273392844791e-05,5.7065300805062516e-05,6.52070688007066e-07
75938537.59765625,75.938537597656,9.8196657441281726e-06,6.515809407768442e-05,5.3152192802104934e-07
75938682.556152344,75.938682556152,1.1892161145507625e-05,5.7132920687418382e-05,3.8800663667621972e-07
75938827.514648438,75.938827514648,1.3993360708269375e-05,4.7350958189282224e-05,4.720923849971282e-07
75938972.473144531,75.938972473145,1.3659919409465564e-05,3.8434771931572948e-05,5.2786574021381322e-07
75939117.431640625,75.939117431641,1.1717495526623416e-05,4.6688563257574267e-05,4.8063809988055865e-07
75939262.390136719,75.939262390137,1.2151966767678469e-05,5.5259769782342904e-05,4.9343835125422456e-07
75939407.348632812,75.939407348633,9.3441431432719793e-06,5.3066768001825468e-05,6.2519295389675666e-07
75939552.307128906,75.939552307129,1.0974337213961573e-05,6.5434335054769422e-05,6.1076040883345437e-07
