Offset_Hz,Frequency_Hz,TwoTapDelaySamples,NormalizedFirAttenuation_dB
-73204.0405273,75926795.959472656,8,-50.3825865919
-73059.0820312,75926940.91796875,8,-50.3998033729
-72914.1235352,75927085.876464844,8,-50.4170543483
-72769.1650391,75927230.834960938,8,-50.4343396543
-72624.206543,75927375.793457031,8,-50.4516594277
-72479.2480469,75927520.751953125,8,-50.4690138063
-72334.2895508,75927665.710449219,8,-50.4864029286
-72189.3310547,75927810.668945312,8,-50.5038269341
-72044.3725586,75927955.627441406,8,-50.5212859629
-71899.4140625,75928100.5859375,8,-50.5387801561
-71754.4555664,75928245.544433594,8,-50.5563096558
-71609.4970703,75928390.502929688,8,-50.5738746046
-71464.5385742,75928535.461425781,8,-50.5914751462
-71319.5800781,75928680.419921875,8,-50.6091114252
-71174.621582,75928825.378417969,8,-50.626783587
-71029.6630859,75928970.336914062,8,-50.6444917779
-70884.7045898,75929115.295410156,8,-50.6622361451
-70739.7460938,75929260.25390625,8,-50.6800168367
-70594.7875977,75929405.212402344,8,-50.6978340018
-70449.8291016,75929550.170898438,8,-50.7156877903
-70304.8706055,75929695.129394531,8,-50.733578353
-70159.9121094,75929840.087890625,8,-50.7515058418
-70014.9536133,75929985.046386719,8,-50.7694704094
-69869.9951172,75930130.004882812,8,-50.7874722095
-69725.0366211,75930274.963378906,8,-50.8055113967
-69580.078125,75930419.921875,8,-50.8235881267
-69435.1196289,75930564.880371094,8,-50.8417025561
-69290.1611328,75930709.838867188,8,-50.8598548424
-69145.2026367,75930854.797363281,8,-50.8780451442
-69000.2441406,75930999.755859375,8,-50.8962736211
-68855.2856445,75931144.714355469,8,-50.9145404336
-68710.3271484,75931289.672851562,8,-50.9328457433
-68565.3686523,75931434.631347656,8,-50.9511897128
-68420.4101562,75931579.58984375,8,-50.9695725057
-68275.4516602,75931724.548339844,8,-50.9879942868
-68130.4931641,75931869.506835938,8,-51.0064552217
-67985.534668,75932014.465332031,8,-51.0249554774
-67840.5761719,75932159.423828125,8,-51.0434952215
-67695.6176758,75932304.382324219,8,-51.062074623
-67550.6591797,75932449.340820312,8,-51.0806938521
-67405.7006836,75932594.299316406,8,-51.0993530797
-67260.7421875,75932739.2578125,8,-51.1180524781
-67115.7836914,75932884.216308594,8,-51.1367922206
-66970.8251953,75933029.174804688,8,-51.1555724818
-66825.8666992,75933174.133300781,8,-51.1743934371
-66680.9082031,75933319.091796875,8,-51.1932552634
-66535.949707,75933464.050292969,8,-51.2121581386
-66390.9912109,75933609.008789062,8,-51.2311022416
-66246.0327148,75933753.967285156,8,-51.2500877527
-66101.0742188,75933898.92578125,8,-51.2691148533
-65956.1157227,75934043.884277344,8,-51.2881837261
-65811.1572266,75934188.842773438,8,-51.3072945549
-65666.1987305,75934333.801269531,8,-51.3264475246
-65521.2402344,75934478.759765625,8,-51.3456428216
-65376.2817383,75934623.718261719,8,-51.3648806333
