wavelength_nm,dispersion_ps_per_nm_km,gdd_fiber_fs2,gdd_sf11_rod_fs2,gdd_total_fs2,tod_fiber_fs3,pulse_duration_fiber_ps,pulse_duration_fiber_sf11_rod_ps,best_grating_l_eff_cm,best_pulse_duration_grating_fiber_ps
782.0,-148.33032929122092,2466092.659876302,0.0,2466092.659876302,791731.9955785914,56.9789655023218,56.9789655023218,69.91596638655463,0.19186683600027418
783.0,-147.8029025300748,2463672.905782273,0.0,2463672.905782273,781677.1349536114,56.92305743550066,56.92305743550066,69.4621848739496,0.16596520185023808
784.0,-147.27971184619676,2461286.240942538,0.0,2461286.240942538,774214.1947768024,56.867913891332094,56.867913891332094,69.00840336134455,0.14224814494577215
785.0,-146.76023000091607,2458924.4921408147,0.0,2458924.4921408147,769391.6031415424,56.8133460288341,56.8133460288341,68.5546218487395,0.1250236107193955
786.0,-146.2439297555621,2456579.399624703,0.0,2456579.399624703,767258.2195981831,56.759163007623485,56.759163007623485,68.10084033613447,0.12034290940384247
787.0,-145.7302838714642,2454242.6168259718,0.0,2454242.6168259718,767863.3372385156,56.705171981453276,56.705171981453276,67.64705882352942,0.13239376336298184
788.0,-145.21876510995165,2451905.7100808527,0.0,2451905.7100808527,771256.6847832466,56.65117809175009,56.65117809175009,67.19327731092437,0.1596455382481106
789.0,-144.7088462323538,2449560.1583503303,0.0,2449560.1583503303,777488.4286750582,56.59698446115147,56.59698446115147,66.73949579831933,0.19760198233251428
790.0,-144.2,2447197.3529404337,0.0,2447197.3529404337,786210.5288658171,56.54239218704351,56.54239218704351,66.73949579831933,0.21201766959665705
791.0,-143.6918446335622,2444811.01136818,0.0,2444811.01136818,795462.5974668988,56.48725611358072,56.48725611358072,66.28571428571429,0.17027192452414733
792.0,-143.18458019108303,2442404.4683819693,0.0,2442404.4683819693,803235.8787562947,56.43165328964516,56.43165328964516,65.83193277310926,0.13632689309111584
793.0,-142.6785521899479,2439983.518963775,0.0,2439983.518963775,809097.7811752083,56.375717607454376,56.375717607454376,65.37815126050421,0.12016594796106878
794.0,-142.1741061475421,2437554.016559422,0.0,2437554.016559422,813014.0648808954,56.31958431002222,56.31958431002222,64.92436974789916,0.13179264509023236
795.0,-141.67158758125083,2435121.8732618974,0.0,2435121.8732618974,814950.194043512,56.26338999539433,56.26338999539433,64.47058823529413,0.1682116517035971
796.0,-141.17134200845953,2432693.0599946487,0.0,2432693.0599946487,814871.3354523319,56.207272620882954,56.207272620882954,64.01680672268908,0.21967586606441097
797.0,-140.6737149465535,2430273.606694888,0.0,2430273.606694888,812742.3571182834,56.151371507302265,56.151371507302265,64.01680672268908,0.18901172451224382
798.0,-140.179051912918,2427869.602496892,0.0,2427869.602496892,808527.8268721106,56.09582734320336,56.09582734320336,63.563025210084035,0.14198800299782177
799.0,-139.6876984249384,2425487.19591531,0.0,2425487.19591531,802192.0109613058,56.040782189109564,56.040782189109564,63.10924369747899,0.12002711497211269
800.0,-139.2,2423132.595028462,0.0,2423132.595028462,793987.2424021536,55.98637948175155,55.98637948175155,62.655462184873954,0.14107353783782647
801.0,-138.71620209744546,2420810.364774304,0.0,2420810.364774304,785332.0325433966,55.932724693341136,55.932724693341136,62.20168067226892,0.195550428598551
802.0,-138.2361499444468,2418518.2844352536,0.0,2418518.2844352536,777679.4514116914,55.8797665145164,55.8797665145164,62.20168067226892,0.2087433731685009
803.0,-137.75958871013347,2416252.3967763865,0.0,2416252.3967763865,771342.2539048474,55.82741351393908,55.82741351393908,61.74789915966387,0.14745750428081503
804.0,-137.28626356363495,2414008.7023043814,0.0,2414008.7023043814,766345.0404609774,55.77557328389848,55.77557328389848,61.29411764705883,0.12003114008023102
805.0,-136.8159196740805,2411783.159132334,0.0,2411783.159132334,762712.6278398609,55.724152437188124,55.724152437188124,60.840336134453786,0.1526883059741182
806.0,-136.34830221059963,2409571.682844565,0.0,2409571.682844565,760470.050149976,55.67305660398204,55.67305660398204,60.386554621848745,0.22410244506750945
807.0,-135.88315634232177,2407370.146361428,0.0,2407370.146361428,759642.5598788972,55.622190428711235,55.622190428711235,60.386554621848745,0.17820468689690777
808.0,-135.42022723837624,2405174.379804115,0.0,2405174.379804115,760255.6289228238,55.57145756694001,55.57145756694001,59.9327731092437,0.1244025181499768
809.0,-134.95926006789253,2402980.170359467,0.0,2402980.170359467,762334.9496203277,55.520760682242525,55.520760682242525,59.47899159663865,0.13846457216278804
810.0,-134.5,2400783.2621447826,0.0,2400783.2621447826,765740.5370808304,55.47000144307913,55.47000144307913,59.02521008403362,0.21122933200855504
811.0,-134.042246976656,2398580.3116717706,0.0,2398580.3116717706,769661.645638028,55.419102598649594,55.419102598649594,59.02521008403362,0.18882136857313772
812.0,-133.5860200311297,2396371.773373188,0.0,2396371.773373188,773267.9451423347,55.3680746485578,55.3680746485578,58.571428571428584,0.12571098644850587
813.0,-133.13139296951806,2394159.065761321,0.0,2394159.065761321,776385.2741122965,55.31695036732199,55.31695036732199,58.11764705882354,0.1408527759706025
814.0,-132.67843959791816,2391943.620575375,0.0,2391943.620575375,779005.301421479,55.26576283506581,55.26576283506581,57.663865546218496,0.22295632714807087
815.0,-132.22723372242706,2389726.8828206253,0.0,2389726.8828206253,781119.6272824686,55.21454543842296,55.21454543842296,57.663865546218496,0.17726448629165156
816.0,-131.7778491491418,2387510.310807577,0.0,2387510.310807577,782719.7829364869,55.16333187144188,55.16333187144188,57.21008403361345,0.12063647430363494
817.0,-131.33035968415942,2385295.376191116,0.0,2385295.376191116,783797.2303429871,55.1121561364904,55.1121561364904,56.75630252100841,0.16199358439182066
818.0,-130.88483913357695,2383083.5640096664,0.0,2383083.5640096664,784343.3618682863,55.061052545160365,55.061052545160365,56.75630252100841,0.24075763951120274
819.0,-130.44136130349145,2380876.372724347,0.0,2380876.372724347,784349.4999735622,55.0100557191724,55.0100557191724,56.30252100840336,0.14607307575537246
820.0,-130.0,2378675.314258126,0.0,2378675.314258126,783867.4458453528,54.95920059128054,54.95920059128054,55.84873949579831,0.12830196423424187
