wavelength_nm,dispersion_ps_per_nm_km,gdd_fiber_fs2,gdd_sf11_rod_fs2,gdd_total_fs2,tod_fiber_fs3,pulse_duration_fiber_ps,pulse_duration_fiber_sf11_rod_ps
667,-214.9160672460139,2536234.6635380727,75405.27438985417,2611639.937927927,1334685.441380295,70.31942735493438,72.41010343567002
668,-213.79413132256107,2530565.5170970904,75213.84976155912,2605779.3668586495,1344755.2816130663,70.16224539935666,72.24761405844491
669,-212.67602109506532,2524873.6117057074,75023.41263354932,2599897.024339257,1353505.2894116952,70.00443243304596,72.08452104973023
670,-211.5622019456874,2519164.7179576186,74833.95456630195,2593998.6725239204,1360907.2903364892,69.84614845068182,71.92098417022088
671,-210.4531392565882,2513444.673880953,74645.46742278182,2588090.141303735,1366932.8229057812,69.68755531661866,71.75716505867366
672,-209.3492984099286,2507719.3851851667,74457.9428766803,2582177.328061847,1371553.1370027238,69.52881677173083,71.59322722511777
673,-208.25114478786938,2501994.8255079356,74271.37283979692,2576266.1983477324,1374739.1922772278,69.3700984402579,71.42933606954973
674,-207.1591437725714,2496277.0366620477,74085.74928261191,2570362.7859446597,1376461.6565443366,69.2115678366499,71.26565888380368
675,-206.07376074619555,2490572.128882296,73901.06411726333,2564473.1929995595,1376690.9041789568,69.05339437241246,71.10236485515208
676,-204.9954610909026,2484886.281072372,73717.30955346799,2558603.5906258402,1375397.0145062853,68.89574936295207,70.93962508301921
677,-203.92471018885342,2479225.741051759,73534.47791858621,2552760.2189703453,1372549.7701883574,68.7388060344214,70.77761258083757
678,-202.86197342220885,2473596.825802624,73352.56144654055,2546949.3872491647,1368118.6556068216,68.58273953056447,70.61650227704061
679,-201.80771617312973,2468005.921716711,73171.55244982369,2541177.474166535,1362072.855241746,68.42772691956182,70.4564710266772
680,-200.76240382377694,2462459.4848422348,72991.44343243039,2535450.928274665,1354381.2520465467,68.27394720087605,70.29769762138795
681,-199.72650175631122,2456964.0411307714,72812.22703250282,2529776.268163274,1345012.4258185572,68.1215813120968,70.14036279466028
682,-198.7004753528935,2451526.1866841535,72633.89583799429,2524160.082522148,1333934.6515662074,67.97081213578619,69.98464922356281
683,-197.6847899956846,2446152.5880013634,72456.44253184744,2518609.030533211,1321117.2210842692,67.82182450632413,69.83074153961597
684,-196.67991020265615,2440849.9715006053,72279.85997296227,2513129.8314735675,1306811.324381402,67.67480491939878,69.67882604052727
685,-195.68611728366088,2435622.854051038,72104.14090093086,2507726.994951969,1291908.0492495208,67.52987860905435,69.52902775904876
686,-194.70328378704133,2430470.69433471,71929.27831954935,2502399.9726542593,1277124.127846373,67.38703056676177,69.38133149267581
687,-193.7312269530285,2425392.243573071,71755.26537214984,2497147.5089452206,1262552.996329717,67.24622616904131,69.23570242782071
688,-192.76976402185363,2420386.229812875,71582.09502971804,2491968.324842593,1248203.0079390993,67.10743014987565,69.09210510357956
689,-191.81871223374773,2415451.357829213,71409.76050634138,2486861.1183355544,1234082.6162162796,66.97060659802145,68.95050342056254
690,-190.877888828942,2410586.3090285645,71238.25502276527,2481824.5640513296,1220200.375606114,66.83571895432128,68.81086063165031
691,-189.94711104766748,2405789.7413518336,71067.57176246724,2476857.313114301,1206564.9420593516,66.70273000901533,68.67313933808785
692,-189.02619613015534,2401060.2891773963,70897.70434144088,2471957.9935188373,1193185.0736366413,66.57160189905332,68.53730149982125
693,-188.11496131663665,2396396.5632241396,70728.64616555789,2467125.2093896973,1180069.6311142838,66.44229610540609,68.40330841499204
694,-187.21322384734256,2391797.1504545105,70560.39059792073,2462357.5410524313,1167227.578591411,66.31477345037763,68.2711207218889
695,-186.32080096250417,2387260.61397755,70392.9313626873,2457653.545340237,1154667.9840989176,66.18899409491664,68.1406984074557
