wavelength_nm,dispersion_ps_per_nm_km,gdd_fiber_fs2,gdd_sf11_rod_fs2,gdd_total_fs2,tod_fiber_fs3,pulse_duration_fiber_ps,pulse_duration_fiber_sf11_rod_ps
773,-130.92521285093795,2075157.9462998242,59350.155902855564,2134508.10220268,1228854.4366568928,57.53568209043084,59.18121540329377
774,-130.3433014157959,2071283.3756933126,59229.8732908003,2130513.248984113,1230425.9122314437,57.42825634532052,59.070454711902975
775,-129.76435179675104,2067415.1190178567,59110.03359948689,2126525.1526173437,1231195.901170679,57.32100565989351,58.95988136054885
776,-129.18850430127887,2063555.6903819165,58990.6338947686,2122546.3242766852,1231150.5357303345,57.213999739931374,58.84956497366697
777,-128.61589923685506,2059707.6279563745,58871.671322281836,2118579.2992786565,1230275.8292200668,57.10730895836512,58.73957584505458
778,-128.04667691095514,2055873.494048967,58753.142908665366,2114626.6369576324,1228557.6754415545,57.00100435733872,58.629984934422694
779,-127.4809776310547,2052055.8751787196,58635.0457834748,2110690.9209621944,1225981.8481246682,56.89515765027302,58.52086387561279
780,-126.9189417046293,2048257.3821503832,58517.37701899574,2106774.759169379,1222534.0003637136,56.78984122392938,58.41228497421917
781,-126.3607094391545,2044480.6501288705,58400.13371149379,2102880.7838403643,1218199.6640515612,56.68512814047349,58.3043212119055
782,-125.80642114210592,2040728.33871369,58283.31312774713,2099011.651841437,1212964.2493132243,56.581092139539194,58.197046252531294
783,-125.2562171209591,2037003.1320133824,58166.91249966404,2095170.0445130465,1206813.0439381711,56.47780764029217,58.090534438521296
784,-124.7102376831896,2033307.7387199542,58050.92898518129,2091358.6677051354,1199731.21281069,56.3753497434937,57.984860791845065
785,-124.16862313627301,2029644.8921833162,57935.3597913243,2087580.2519746404,1191703.7973399386,56.27379423356456,57.88010101949281
786,-123.63151378768492,2026017.350485716,57820.202281017264,2083837.5527667333,1182715.7148888628,56.17321758064862,57.776331518500484
787,-123.09904994490088,2022427.8965161757,57705.453660721374,2080133.3501768971,1172751.7582011844,56.073696942676825,57.67362936935308
788,-122.57137191539647,2018879.3380449256,57591.11119151596,2076470.4492364416,1161796.5948275644,55.97531016743085,57.5720723439009
789,-122.04862000664727,2015374.5077978398,57477.17243973277,2072851.6802375726,1149834.766550971,55.878135794606884,57.47173891437224
790,-121.53093452612883,2011916.263530873,57363.63456652474,2069279.8980973978,1136850.6888102535,55.782253057879544,57.372708235740035
791,-121.01845578131675,2008507.4881044952,57250.49491692972,2065757.9830214249,1122828.6501227973,55.68774188696558,57.27506016411792
792,-120.51132407968659,2005151.0895581257,57137.75099769598,2062288.8405558218,1107793.6572667598,55.59468290968774,57.178875258209125
793,-120.00966497475744,2001849.755077692,57025.400207915314,2058875.1552856073,1092385.8889336102,55.50315063051801,57.084227950380885
794,-119.51338325714427,1998602.5029111207,56913.44006996538,2055515.942981086,1077695.7533889862,55.41311782953144,56.99109095201264
795,-119.02221377374117,1995405.4878924664,56801.867934300695,2052207.3558267672,1064229.9226366838,55.324477896243394,56.89935757915036
796,-118.53588699989959,1992254.7483335403,56690.681235221484,2048945.4295687617,1052025.1125668683,55.23712098949433,56.808917919489375
797,-118.05413341097106,1989146.2786176845,56579.87759830439,2045726.1562159888,1041106.0969060102,55.15093605017335,56.71966084807669
798,-117.576683482307,1986076.0290567859,56469.45447895207,2042545.483535738,1031497.8719738112,55.06581079725372,56.63147401332512
799,-117.1032676892589,1983039.9057482872,56359.40948491128,2039399.3152331985,1023225.6577554091,54.98163172382844,56.544243841990735
800,-116.6336165071782,1980033.7704322017,56249.74024734461,2036283.5106795463,1016314.8989765476,54.89828409314577,56.457855531633946
801,-116.16746041141643,1977053.4403481262,56140.444142379405,2033193.8844905056,1010791.266180825,54.81565193464484,56.37219303893473
802,-115.704529877325,1974094.6880922497,56031.51885235457,2030126.2069446042,1006680.6568089321,54.733618039991086,56.287139091289106
803,-115.2445553802554,1971153.2414743714,55922.96202112804,2027076.2034954994,1004009.1962800822,54.65206395911199,56.20257517328801
804,-114.78726739555913,1968224.78337491,55814.77136540078,2024039.5547403109,1002803.23907641,54.57086999623251,56.118381525839254
805,-114.33239639858763,1965304.9516019179,55706.944497884826,2021011.8960998026,1003089.3698290839,54.489915205910776,56.03443713730041
806,-113.87967286469237,1962389.3387480935,55599.47906334089,2017988.8178114344,1004894.404406558,54.40907738907358,55.950619743286126
807,-113.42882726922481,1959473.4920477923,55492.372822254736,2014965.864870047,1008245.3910053807,54.32823308905204,55.866805825023626
808,-112.97959008753647,1956552.9132340453,55385.62341447822,2011938.5366485235,1013169.6112437691,54.24725758761729,55.78287059883531
809,-112.53169179497874,1953623.058395563,55279.22866538442,2008902.2870609474,1019694.581256299,54.1660249010159,55.69868802066247
810,-112.08486286690315,1950679.3378337559,55173.18616861412,2005852.52400237,1027848.0527916776,54.08440777600571,55.61413077053247
811,-111.63883377866115,1947717.1159197434,55067.4938405519,2002784.6097602954,1037658.0143129283,54.002277685891364,55.529070263967604
812,-111.19333500560423,1944731.7109513679,54962.14949799439,1999693.8604493623,1049152.6920992865,53.919504826560015,55.443376636311214
813,-110.74809702308382,1941718.3950102052,54857.150840264054,1996575.5458504693,1062360.5513506,53.83595811251697,55.35691873826748
814,-110.30285030645142,1938672.3938185805,54752.4957351646,1993424.889553745,1077310.2972941066,53.751505172921384,55.26956413986546
815,-109.85732533105849,1935588.8865965789,54648.1820672576,1990237.0686638365,1094030.8762935633,53.66601234762197,55.181179122288086
816,-109.4112525722565,1932463.0059190604,54544.207646456,1987007.2135655165,1112378.0432953364,53.57934468319276,55.09162867137365
817,-108.96441810030339,1929290.821919161,54440.57027832816,1983731.392197489,1131342.9770616947,53.49139322080083,55.0008037674353
818,-108.51688249334677,1926073.2397018357,54337.267987422885,1980410.5076892585,1149801.2360501816,53.40218305526469,54.90872945052157
