wavelength_nm,dispersion_ps_per_nm_km,gdd_fiber_fs2,gdd_sf11_rod_fs2,gdd_total_fs2,tod_fiber_fs3,pulse_duration_fiber_ps,pulse_duration_fiber_sf11_rod_ps,best_grating_l_eff_cm,best_pulse_duration_grating_fiber_ps
1199.0,-38.35379034559731,1522566.2159928477,0.0,1522566.2159928477,2580754.5150146736,35.178953996129266,35.178953996129266,20.0,85.87138575671256
1200.0,-38.2,1519132.5182664965,0.0,1519132.5182664965,2666077.3231474813,35.09961919547509,35.09961919547509,20.0,86.58042580933713
1201.0,-38.04372695335994,1515586.2756042515,0.0,1515586.2756042515,2751983.405635021,35.0176840720173,35.0176840720173,20.0,87.29595192244386
1202.0,-37.88530261577464,1511939.6899408041,0.0,1511939.6899408041,2826360.107956945,34.93343054887621,34.93343054887621,20.0,88.01771279250296
1203.0,-37.725223141901886,1508211.3712711753,0.0,1508211.3712711753,2886636.462783872,34.84728860590281,34.84728860590281,20.0,88.74530936272411
1204.0,-37.5639846863995,1504420.055618861,0.0,1504420.055618861,2932644.203622264,34.75969113476356,34.75969113476356,20.0,89.47833997234206
1205.0,-37.40208340392527,1500584.6052990505,0.0,1500584.6052990505,2964214.0974017396,34.67107394501826,34.67107394501826,20.0,90.21640035425891
1206.0,-37.24001544913703,1496724.0091818438,0.0,1496724.0091818438,2981175.941453821,34.58187577019853,34.58187577019853,20.0,90.95908363273922
1207.0,-37.07827697669258,1492857.38295547,0.0,1492857.38295547,2983358.5604858836,34.492538273886744,34.492538273886744,20.0,91.70598032115963
1208.0,-36.91736414124972,1489003.969389504,0.0,1489003.969389504,2970589.8035498383,34.40350605579555,34.40350605579555,20.0,92.45667831981261
1209.0,-36.75777309746625,1485183.138598088,0.0,1485183.138598088,2942696.5410079043,34.31522665784816,34.31522665784816,20.0,93.21076291376662
1210.0,-36.6,1481414.3883031483,0.0,1481414.3883031483,2901486.681260838,34.2281505702592,34.2281505702592,20.0,93.96781677078211
1211.0,-36.44440959341126,1477712.23215576,0.0,1477712.23215576,2856754.277460711,34.14261312740976,34.14261312740976,20.0,94.72753805012727
