Offset_Hz,Offset_kHz,20260515_092941,20260515_133100,20260515_134951,20260515_140509,20260521_162959
16815.1855469,16.8151855469,-112.626637109,-107.799233042,-108.48534441,-109.30036722,-106.834684913
16960.144043,16.960144043,-112.337785095,-106.976056736,-108.256970994,-109.616042034,-106.290520387
17105.1025391,17.1051025391,-113.127026728,-107.181734231,-109.044616793,-108.964777097,-106.601779837
17250.0610352,17.2500610352,-112.392570372,-108.013493792,-107.913649843,-108.919976562,-107.365176907
17395.0195312,17.3950195312,-111.230466418,-108.462270202,-107.891050948,-108.946387467,-107.659009281
17539.9780273,17.5399780273,-110.930905886,-110.041091344,-109.01194215,-107.841449723,-106.963139631
17684.9365234,17.6849365234,-111.224028692,-108.170439279,-108.302158547,-107.779224004,-105.105414609
17829.8950195,17.8298950195,-111.928864714,-107.909706778,-108.296631562,-108.521549394,-105.464616152
17974.8535156,17.9748535156,-110.916353663,-108.873943677,-108.769351164,-108.297313124,-104.998737032
18119.8120117,18.1198120117,-111.011415024,-107.233662942,-107.841354059,-108.477800092,-105.269319984
18264.7705078,18.2647705078,-111.017819193,-106.226512929,-107.934243622,-108.879847895,-105.885382947
18409.7290039,18.4097290039,-110.524032965,-106.180356479,-108.368981143,-109.75799482,-106.130935894
18554.6875,18.5546875,-110.864203424,-107.194521228,-108.484641068,-110.377220505,-107.230089915
18699.6459961,18.6996459961,-111.314057955,-107.727693544,-108.463243162,-109.673098562,-107.145236822
18844.6044922,18.8446044922,-110.702284851,-107.982824405,-108.696003873,-109.915598236,-106.863370656
18989.5629883,18.9895629883,-112.287019107,-107.718521675,-108.808231809,-109.987822273,-105.813300828
19134.5214844,19.1345214844,-111.002959397,-107.193105237,-107.930254001,-108.299910966,-104.928385849
19279.4799805,19.2794799805,-110.251874675,-107.575100342,-108.332584803,-108.25823701,-104.272795862
19424.4384766,19.4244384766,-111.788181586,-107.701806535,-107.828750268,-108.974564486,-104.543128266
19569.3969727,19.5693969727,-111.555904012,-107.89378786,-107.640973378,-108.460953935,-104.28181914
19714.3554688,19.7143554688,-111.640244661,-106.426178457,-109.037260791,-107.671881702,-105.575430323
19859.3139648,19.8593139648,-112.243813359,-106.042314658,-107.642284951,-107.802279606,-106.382041161
20004.2724609,20.0042724609,-111.47257907,-105.534842884,-106.150161035,-107.16004621,-106.117770644
20149.230957,20.149230957,-111.193410986,-105.038415226,-106.801109857,-106.869426208,-104.463647483
20294.1894531,20.2941894531,-110.875848515,-104.208285219,-107.697059927,-107.061123301,-103.27557569
20439.1479492,20.4391479492,-111.723492445,-104.374208112,-108.241537392,-106.669777058,-104.265609257
20584.1064453,20.5841064453,-112.149944121,-106.348474117,-107.833295112,-107.013685749,-105.556660282
20729.0649414,20.7290649414,-111.239779304,-105.819653839,-107.489941902,-107.149857423,-105.134256836
20874.0234375,20.8740234375,-111.160850326,-105.144492589,-106.486660081,-107.494885019,-105.369749761
21018.9819336,21.0189819336,-110.433703623,-104.280000092,-105.861434659,-107.013617046,-105.158742263
21163.9404297,21.1639404297,-109.742960945,-103.870921585,-106.025533762,-106.937030803,-105.045523239
21308.8989258,21.3088989258,-109.981018068,-105.013487989,-107.237236221,-106.873205516,-104.74663304
21453.8574219,21.4538574219,-109.628507071,-106.126622089,-108.304660966,-107.887443324,-104.194498188
21598.815918,21.598815918,-109.682716483,-105.845152072,-106.072493283,-108.150353936,-104.620773664
21743.7744141,21.7437744141,-110.31880283,-105.079073529,-105.798894644,-107.890978458,-104.831190282
21888.7329102,21.8887329102,-110.865608818,-105.255988886,-106.412825777,-107.945767,-106.810614377
22033.6914062,22.0336914062,-110.624135849,-105.789589212,-106.468594141,-107.620584449,-105.715378628
22178.6499023,22.1786499023,-109.306534917,-106.160165804,-107.662162473,-106.65931277,-103.842498404
22323.6083984,22.3236083984,-109.376977012,-105.7309709,-106.456067297,-106.407487308,-104.036078542
22468.5668945,22.4685668945,-110.060431946,-106.014620454,-106.142531339,-107.043814804,-104.170833448
22613.5253906,22.6135253906,-110.54180945,-106.636088928,-106.760951769,-106.641999537,-104.098818035
22758.4838867,22.7584838867,-111.892239356,-106.028846166,-105.4542346,-105.759228035,-104.69414353
22903.4423828,22.9034423828,-110.170053272,-105.322372767,-105.917070147,-105.64471111,-104.022451349
23048.4008789,23.0484008789,-110.68838547,-105.683119348,-107.936509107,-106.663694324,-103.686612199
23193.359375,23.193359375,-109.428619717,-105.843500516,-107.204321004,-107.202539441,-105.083364152
23338.3178711,23.3383178711,-109.724242897,-106.310931623,-106.655435451,-105.743739781,-106.104024344
23483.2763672,23.4832763672,-111.529600419,-105.442381484,-106.991086507,-105.58238819,-105.099675941
23628.2348633,23.6282348633,-111.051790174,-105.805669563,-107.784052399,-107.04005782,-104.452283755
23773.1933594,23.7731933594,-109.387968199,-105.781733865,-107.205094742,-107.081549505,-104.063481955
23918.1518555,23.9181518555,-108.953450085,-104.666228349,-105.211454667,-107.881010081,-105.39265605
24063.1103516,24.0631103516,-110.214293891,-103.935348261,-104.679759709,-107.28851878,-104.259871171
24208.0688477,24.2080688477,-108.826934578,-104.788261054,-104.358032996,-106.98759123,-103.297327467
24353.0273438,24.3530273438,-108.568358406,-104.18086429,-105.155561693,-106.460438918,-103.480316862
24497.9858398,24.4979858398,-109.949241649,-104.654890455,-104.807254525,-105.902653369,-103.623242153
24642.9443359,24.6429443359,-109.042061661,-104.074821072,-105.05994935,-106.769385666,-104.933714508
24787.902832,24.787902832,-108.989768382,-104.235232054,-106.024329483,-106.693884822,-103.918789154
24932.8613281,24.9328613281,-110.024094826,-105.911918367,-105.295110546,-105.32965713,-103.588345345
25077.8198242,25.0778198242,-109.631665823,-105.084503001,-104.083747016,-104.575247875,-104.167086997
25222.7783203,25.2227783203,-111.060137968,-104.535767011,-105.353237052,-105.43851673,-103.528244611
25367.7368164,25.3677368164,-110.748773038,-104.301746398,-105.521579844,-105.952228725,-103.038194287
25512.6953125,25.5126953125,-108.846671424,-103.679231305,-104.757722118,-106.39860189,-102.711358346
25657.6538086,25.6576538086,-108.390169566,-104.141605256,-105.40081538,-105.548203109,-102.728739477
25802.6123047,25.8026123047,-108.749798213,-104.401889957,-104.588626948,-105.81305992,-103.079697823
25947.5708008,25.9475708008,-108.423600177,-104.12958363,-104.65329549,-106.073933092,-102.855982116
26092.5292969,26.0925292969,-107.544324901,-105.386540422,-106.605808467,-106.565545137,-102.506956942
26237.487793,26.237487793,-108.038288099,-104.07567479,-104.435385156,-106.607118565,-103.289073113
26382.4462891,26.3824462891,-108.369551089,-102.174629205,-103.860385002,-105.225678946,-103.210328718
26527.4047852,26.5274047852,-108.139562935,-103.659190853,-103.925317359,-104.794105893,-103.80759601
26672.3632812,26.6723632812,-108.790120711,-104.597368004,-104.691100786,-105.224861076,-104.205514985
26817.3217773,26.8173217773,-107.879522355,-104.636744308,-104.381173197,-105.523367738,-103.636031972
26962.2802734,26.9622802734,-107.792041195,-103.174000877,-104.820108648,-106.083064161,-103.363946026
27107.2387695,27.1072387695,-108.900294837,-103.48218723,-104.982727411,-105.258647933,-104.288245333
27252.1972656,27.2521972656,-109.015182147,-103.796893159,-105.73946588,-104.907810757,-103.208135036
27397.1557617,27.3971557617,-109.503798111,-103.847419112,-104.830880531,-104.667213682,-102.734223206
27542.1142578,27.5421142578,-108.734931557,-103.477172947,-104.966203012,-104.946460202,-102.633377315
27687.0727539,27.6870727539,-108.922065696,-103.117163639,-105.319775793,-104.766436735,-103.752516951
27832.03125,27.83203125,-108.696051292,-103.441064706,-104.484159828,-104.751641867,-104.073195482
27976.9897461,27.9769897461,-108.041286247,-103.652996502,-104.999859082,-104.999537518,-104.241674271
28121.9482422,28.1219482422,-107.914029947,-104.074811697,-104.767334426,-106.204768945,-103.579898742
28266.9067383,28.2669067383,-107.774360821,-103.438220658,-104.223530742,-105.867468029,-102.398202351
28411.8652344,28.4118652344,-106.830398873,-104.009158335,-103.943881719,-104.311880745,-102.158338255
28556.8237305,28.5568237305,-106.383888701,-104.151877825,-103.479759279,-104.500752354,-102.415271969
28701.7822266,28.7017822266,-107.154186967,-104.665993687,-103.657182783,-104.073288742,-103.370295836
28846.7407227,28.8467407227,-108.44681689,-103.966786095,-103.732287945,-106.145053447,-104.002772399
28991.6992188,28.9916992188,-107.917905588,-103.842367834,-104.733943102,-104.626692799,-103.628709031
29136.6577148,29.1366577148,-108.330000981,-103.718412696,-104.444820094,-103.948596761,-103.923303988
29281.6162109,29.2816162109,-108.121771644,-102.85435812,-105.054834257,-104.782468912,-103.950826592
29426.574707,29.426574707,-107.189121602,-103.290458732,-104.473352753,-103.269634837,-103.597781149
29571.5332031,29.5715332031,-108.019673029,-103.604805533,-103.736776817,-104.594662453,-103.38910863
29716.4916992,29.7164916992,-108.727153515,-102.486079887,-104.163728375,-106.058431516,-102.51528475
29861.4501953,29.8614501953,-108.718418259,-102.689472587,-102.644743116,-105.775681204,-101.924919188
30006.4086914,30.0064086914,-107.555990836,-103.256435424,-102.797443989,-105.111284709,-101.909637174
30151.3671875,30.1513671875,-107.460745186,-102.459121451,-104.108488798,-105.43115752,-102.720376198
30296.3256836,30.2963256836,-107.030322309,-102.647302835,-104.481066362,-105.45494003,-101.263803501
30441.2841797,30.4412841797,-107.36567809,-102.970340469,-104.346823211,-104.616456539,-100.950591452
30586.2426758,30.5862426758,-106.106560183,-103.160459286,-104.987665797,-104.482042951,-102.152808865
30731.2011719,30.7312011719,-106.660961012,-103.723042939,-105.572277156,-104.889008235,-101.542727542
30876.159668,30.876159668,-107.900986633,-103.491776576,-104.670911946,-104.6274608,-100.497064913
31021.1181641,31.0211181641,-107.858625978,-101.897349183,-104.609506162,-103.656316538,-101.023031694
31166.0766602,31.1660766602,-107.177472182,-102.767031391,-104.336067959,-103.627585434,-101.668606162
31311.0351562,31.3110351562,-108.02925198,-104.181533769,-103.489923137,-104.300203797,-102.623910038
31455.9936523,31.4559936523,-106.886654728,-103.895847926,-103.934725919,-104.052492272,-102.591552597
31600.9521484,31.6009521484,-106.8334276,-102.604437223,-102.301495881,-103.698519656,-100.827154057
31745.9106445,31.7459106445,-106.89409579,-98.472683013,-98.5356371154,-100.672683285,-99.9129960734
31890.8691406,31.8908691406,-107.158776815,-100.302358326,-99.5230485347,-101.310113625,-102.086865419
32035.8276367,32.0358276367,-107.69499547,-102.915656915,-103.146125396,-104.855589595,-103.208586813
32180.7861328,32.1807861328,-108.600757653,-102.042528178,-103.477435639,-104.356944248,-101.497024713
32325.7446289,32.3257446289,-107.050898543,-102.935489815,-104.592941685,-104.332837071,-101.949886712
32470.703125,32.470703125,-106.350693951,-102.059206297,-103.312242735,-104.888545145,-101.550960078
32615.6616211,32.6156616211,-106.85597834,-101.62858559,-101.615868344,-104.960292073,-101.838156384
32760.6201172,32.7606201172,-106.835969008,-103.240684165,-101.913970263,-103.886856334,-100.90911318
32905.5786133,32.9055786133,-107.079217442,-100.97099725,-101.887249197,-103.505990014,-100.800569229
33050.5371094,33.0505371094,-106.555843621,-100.711087843,-102.698842695,-102.885352131,-101.143871747
33195.4956055,33.1954956055,-105.655818542,-101.811731875,-103.254959425,-103.392935369,-100.290318286
33340.4541016,33.3404541016,-105.572565652,-101.139644501,-103.371543812,-104.196016744,-101.604767499
