AbsOffset_Hz,AbsOffset_kHz,20260515_092941,20260515_133100,20260515_134951,20260515_140509,20260521_162959
21453.8574219,21.4538574219,-48.8315105754,-44.8646800666,-46.3104629092,-47.1025039894,-43.3623256143
21598.815918,21.598815918,-49.2515516878,-44.111829538,-45.237550091,-46.9812689347,-43.6705336853
21743.7744141,21.7437744141,-49.3178522371,-44.0452556054,-45.1985255942,-46.5433983553,-43.7055000631
21888.7329102,21.8887329102,-49.084908871,-44.3404234976,-45.7869022137,-46.7364319303,-45.0107990022
22033.6914062,22.0336914062,-49.2924290529,-44.6399251486,-45.6977180518,-46.5563543076,-43.9289315019
22178.6499023,22.1786499023,-48.7682977667,-45.0913984806,-46.5741135402,-45.7831769081,-42.9077788367
22323.6083984,22.3236083984,-48.4269251344,-45.3985649881,-45.7750786275,-45.5797588409,-43.6867622701
22468.5668945,22.4685668945,-49.1447565878,-45.8009845663,-46.2470793627,-46.349142705,-43.7534153633
22613.5253906,22.6135253906,-49.8692470942,-45.4133390534,-46.2086436597,-45.8870033221,-44.8713627148
22758.4838867,22.7584838867,-50.8372916949,-45.2996367399,-45.3679673957,-45.3271191101,-45.1276021622
22903.4423828,22.9034423828,-49.8460092531,-45.3016497941,-46.2137342692,-45.9646819227,-43.9858850186
23048.4008789,23.0484008789,-50.0402541757,-45.3074205798,-47.5322608756,-47.3088498578,-43.5172748199
23193.359375,23.193359375,-49.2720488025,-45.1154208084,-46.233031672,-47.6592018607,-44.612583408
23338.3178711,23.3383178711,-49.2597664068,-45.4876033135,-45.3107144723,-45.8059033294,-45.7277725876
23483.2763672,23.4832763672,-50.1805604825,-45.3419923176,-45.5949047496,-45.3468513896,-44.8948012984
23628.2348633,23.6282348633,-49.7165240682,-45.5548427069,-45.9640716516,-47.1242049188,-44.5605778709
23773.1933594,23.7731933594,-48.7693744689,-45.1451398893,-45.9033973464,-46.6998083589,-44.0020445233
23918.1518555,23.9181518555,-48.5985349196,-44.0902150144,-44.6639410474,-46.7759078046,-44.5292235615
24063.1103516,24.0631103516,-49.6875572771,-43.9268702814,-45.065665921,-46.3727012525,-44.3201869353
24208.0688477,24.2080688477,-48.5483287546,-45.0684321735,-45.4029159246,-46.7089643588,-44.0088709905
24353.0273438,24.3530273438,-49.6506075079,-44.8683655583,-45.4804271806,-46.6254711733,-43.7479618696
24497.9858398,24.4979858398,-50.260027108,-44.8373507424,-44.8510717166,-46.0304136075,-43.5866334648
24642.9443359,24.6429443359,-49.2646846757,-44.4683719433,-45.503980033,-46.70628783,-44.2378422823
24787.902832,24.787902832,-49.1726882969,-44.9768932732,-46.4474357885,-46.6637560457,-43.6812795106
24932.8613281,24.9328613281,-49.6307913016,-46.3101190904,-45.962511334,-45.8566207854,-43.8021372934
25077.8198242,25.0778198242,-49.6904593816,-45.9755649521,-44.9313116849,-45.606995309,-44.8373954428
25222.7783203,25.2227783203,-50.422587693,-44.9575525179,-46.2123278127,-45.9787451239,-44.1226792044
25367.7368164,25.3677368164,-50.7186384292,-44.2983113699,-45.8842760037,-46.6699450359,-43.2287706525
25512.6953125,25.5126953125,-50.054200684,-44.1062450843,-45.0211223298,-46.5250586153,-42.9434124521
25657.6538086,25.6576538086,-49.1079633245,-44.9869198173,-45.4361704197,-46.0495842412,-43.2325731242
25802.6123047,25.8026123047,-49.4022177352,-45.6843492094,-45.4747709341,-45.8266719847,-43.7199001599
25947.5708008,25.9475708008,-49.4144663551,-44.9310762256,-45.5363700153,-46.4096208195,-43.4547294636
26092.5292969,26.0925292969,-48.7003968143,-45.8216265803,-46.7692582575,-46.791877765,-42.887170719
26237.487793,26.237487793,-48.8296802415,-44.5304824309,-45.6971246575,-46.6773705329,-43.9451385165
26382.4462891,26.3824462891,-48.9770524849,-43.7483114504,-45.6179878521,-45.9163625926,-43.9258123941
26527.4047852,26.5274047852,-49.0739889197,-44.1657564081,-45.5654566522,-45.5905418321,-44.8509333446
26672.3632812,26.6723632812,-49.4538571555,-44.7237119714,-45.9591206687,-46.2899896091,-45.4269961315
26817.3217773,26.8173217773,-48.554847215,-45.1156390164,-45.9656944729,-46.4887815868,-44.3659257554
26962.2802734,26.9622802734,-48.3718980582,-44.3701135475,-46.6778351282,-47.1134351891,-44.3297658407
27107.2387695,27.1072387695,-49.218470313,-44.6001413671,-46.3412758326,-46.662672111,-45.3751438864
27252.1972656,27.2521972656,-49.6911121923,-45.234604948,-46.8725178854,-46.3239319,-44.508613191
27397.1557617,27.3971557617,-50.5572754687,-45.4899485283,-46.2055366714,-45.9417124672,-44.2629106292
27542.1142578,27.5421142578,-49.5170439178,-45.0341970451,-46.0281247807,-46.3218332997,-43.9316208593
27687.0727539,27.6870727539,-49.2956695183,-44.430353302,-46.03464807,-46.1112150619,-44.6462295622
27832.03125,27.83203125,-48.9241703948,-45.0118294057,-44.8637535174,-45.9188275514,-45.3439411388
27976.9897461,27.9769897461,-48.8503966332,-44.9269688876,-45.3210440986,-46.3752774408,-45.0843414838
28121.9482422,28.1219482422,-49.0927029878,-44.6917434959,-46.527879926,-47.5586701471,-45.235129913
28266.9067383,28.2669067383,-49.4518472588,-44.1478563861,-45.9968101283,-47.5353268046,-44.8160040452
28411.8652344,28.4118652344,-49.3122302544,-44.5785709981,-45.3165837045,-46.4593751781,-44.2796870105
28556.8237305,28.5568237305,-48.3899970784,-44.5001436148,-44.9063450876,-46.0742758236,-44.3611825081
28701.7822266,28.7017822266,-48.5020482348,-45.1617946616,-45.5061248394,-45.8610971821,-45.1807247815
28846.7407227,28.8467407227,-49.5552137861,-45.1086082096,-45.600922093,-46.7857731347,-45.5088436276
28991.6992188,28.9916992188,-48.9088443806,-45.1804031237,-45.797387566,-46.08585596,-45.4269104848
29136.6577148,29.1366577148,-49.4702076861,-45.3040956522,-45.7004905578,-46.237756863,-45.2637078121
29281.6162109,29.2816162109,-49.9885219749,-45.1424236535,-45.7537850124,-47.034962344,-45.0972021927
29426.574707,29.426574707,-50.037315615,-45.0674432261,-46.1722228732,-45.8139224547,-45.0137861538
29571.5332031,29.5715332031,-49.6282555644,-45.3783029569,-45.725852519,-46.4897861272,-44.7389315369
29716.4916992,29.7164916992,-49.4336320458,-44.0643858664,-46.4330540308,-46.7990556459,-43.4798872786
29861.4501953,29.8614501953,-49.7984568347,-44.2675416735,-45.3787448493,-46.86295923,-43.571089174
30006.4086914,30.0064086914,-49.3600576049,-45.6580679724,-44.694340528,-46.7677038474,-43.7156609219
30151.3671875,30.1513671875,-48.8816073037,-44.4452761584,-45.1861139787,-46.6234144149,-44.181754532
30296.3256836,30.2963256836,-49.1336810736,-44.292113525,-45.7929364385,-47.0863544549,-43.2263940926
30441.2841797,30.4412841797,-49.0706158487,-44.3359007887,-45.8279267665,-46.34207436,-43.0400585758
30586.2426758,30.5862426758,-48.574672343,-44.5457708033,-46.8015750532,-46.3157076274,-44.2759765669
