Frequency_Hz,Frequency_MHz,Offset_Hz,TwoTapFirRejection_dB,20260515_092941_after_fir_dB,20260515_133100_after_fir_dB,20260515_134951_after_fir_dB,20260515_140509_after_fir_dB,20260521_162959_after_fir_dB
75919403.076171875,75.919403076172,-80596.9238281,-49.5469211352,-99.0050534117,-94.2742235825,-94.4154710078,-96.3380810915,-94.4649016064
75919548.034667969,75.919548034668,-80451.965332,-49.5625572466,-99.1816491417,-94.8223262163,-94.8652427352,-95.8271815292,-93.0880288672
75919692.993164062,75.919692993164,-80307.0068359,-49.5782215569,-99.2657424566,-95.5314452335,-96.7905069955,-95.9580987178,-92.9914602082
75919837.951660156,75.919837951660,-80162.0483398,-49.5939141678,-99.4828797701,-95.0196494544,-96.197956105,-95.1396952844,-93.6737960968
75919982.91015625,75.919982910156,-80017.0898438,-49.6096351819,-99.4245333484,-93.7322006706,-95.6209324703,-94.8156652725,-94.1766463231
75920127.868652344,75.920127868652,-79872.1313477,-49.6253847021,-99.2074768616,-92.9887747088,-95.2878349817,-95.5989189042,-94.4107230547
75920272.827148438,75.920272827148,-79727.1728516,-49.641162832,-99.4855849585,-93.974588848,-94.9268879663,-97.4961710221,-94.6791515721
75920417.785644531,75.920417785645,-79582.2143555,-49.6569696758,-98.9256426612,-93.1779026184,-95.0422368101,-96.5961398,-94.7904121328
75920562.744140625,75.920562744141,-79437.2558594,-49.6728053381,-98.5346703583,-94.1871410299,-94.7679620377,-96.0196413079,-94.6998133282
75920707.702636719,75.920707702637,-79292.2973633,-49.6886699242,-98.5627520689,-94.0980256644,-95.3152242779,-97.4093648721,-94.2302469307
75920852.661132812,75.920852661133,-79147.3388672,-49.7045635399,-100.128653293,-94.8009295686,-94.3464640152,-96.7701650137,-94.0218772445
75920997.619628906,75.920997619629,-79002.3803711,-49.7204862918,-99.3622860434,-94.8672973223,-94.5236798003,-95.3423605113,-92.8262856356
75921142.578125,75.921142578125,-78857.421875,-49.7364382868,-99.8577568816,-96.249558852,-95.2863209695,-95.2412991736,-93.4475318938
75921287.536621094,75.921287536621,-78712.4633789,-49.7524196324,-99.3910422612,-94.9530452796,-95.8181867818,-95.3972897629,-94.6165523275
75921432.495117188,75.921432495117,-78567.5048828,-49.7684304371,-99.8813597174,-93.9795341952,-95.4588974261,-95.9924155073,-93.6395048138
75921577.453613281,75.921577453613,-78422.5463867,-49.7844708094,-100.134062497,-94.4753542956,-96.0918146259,-96.0285321367,-93.4028622786
75921722.412109375,75.921722412109,-78277.5878906,-49.8005408589,-101.051929506,-92.9862382833,-95.8745074644,-95.3479550661,-94.4899509975
75921867.370605469,75.921867370605,-78132.6293945,-49.8166406955,-98.8649840426,-93.8150308862,-95.5855528121,-97.0938164168,-94.6042538784
75922012.329101562,75.922012329102,-77987.6708984,-49.8327704299,-98.7670254531,-94.817223625,-94.9974290555,-97.4627034274,-93.8036697229
75922157.287597656,75.922157287598,-77842.7124023,-49.8489301734,-98.5021322432,-94.3907020483,-94.9785056485,-96.7074718165,-93.729649168
75922302.24609375,75.922302246094,-77697.7539062,-49.8651200378,-98.9295774432,-94.3768514739,-95.1212870773,-96.9868507349,-95.0276905724
75922447.204589844,75.922447204590,-77552.7954102,-49.8813401355,-99.1727962517,-94.8290876451,-95.5045009396,-96.1547949896,-93.2701888452
75922592.163085938,75.922592163086,-77407.8369141,-49.8975905798,-98.6281648327,-92.9859281314,-96.3205361343,-95.9960461212,-94.2250978314
75922737.121582031,75.922737121582,-77262.878418,-49.9138714844,-98.9810095289,-94.285953573,-96.6074838961,-97.5574325642,-94.6021404038
75922882.080078125,75.922882080078,-77117.9199219,-49.9301829637,-98.3175359246,-95.162112472,-96.4595952901,-95.9747428253,-94.0793894508
75923027.038574219,75.923027038574,-76972.9614258,-49.9465251327,-97.9370964916,-95.6288135202,-94.9875280641,-96.596577483,-94.5263900121
75923171.997070312,75.923171997070,-76828.0029297,-49.9628981072,-98.8943378668,-95.2026066745,-95.7626826344,-96.1653021331,-93.892687561
75923316.955566406,75.923316955566,-76683.0444336,-49.9793020034,-99.1999756547,-95.1126438471,-97.6727159189,-96.5998084941,-93.5535027178
75923461.9140625,75.923461914062,-76538.0859375,-49.9957369385,-100.220729064,-95.567569138,-96.3540801891,-97.9761309407,-94.1942250266
75923606.872558594,75.923606872559,-76393.1274414,-50.0122030301,-100.491774637,-94.5658233695,-95.978072645,-97.5583255565,-94.4907616762
75923751.831054688,75.923751831055,-76248.1689453,-50.0287003965,-99.8259892574,-95.2278035685,-95.9075939337,-96.6141041311,-95.7205570189
75923896.789550781,75.923896789551,-76103.2104492,-50.0452291569,-98.4270211965,-94.8980985065,-95.3284419109,-96.6866952329,-95.9515491024
75924041.748046875,75.924041748047,-75958.2519531,-50.0617894308,-98.235685472,-94.0750097404,-96.0017990358,-97.1978618364,-95.16121805
75924186.706542969,75.924186706543,-75813.293457,-50.0783813387,-99.4738034487,-93.6219768599,-97.6273707394,-97.0890043311,-95.3664853737
75924331.665039062,75.924331665039,-75668.3349609,-50.0950050017,-99.9692975038,-94.9275720837,-95.5687762229,-97.967451496,-94.473685301
75924476.623535156,75.924476623535,-75523.3764648,-50.1116605415,-99.5290924455,-95.5328171451,-95.4877978931,-97.3029517657,-94.5082146878
75924621.58203125,75.924621582031,-75378.4179688,-50.1283480807,-99.8161954478,-94.9705796799,-95.6860013465,-96.5216579515,-95.1533986378
75924766.540527344,75.924766540527,-75233.4594727,-50.1450677424,-99.9808397107,-94.5115830634,-96.213525729,-97.5157886613,-94.5202601143
75924911.499023438,75.924911499023,-75088.5009766,-50.1618196506,-100.182459927,-95.6620274423,-97.8292503007,-96.3526926523,-93.4879662655
75925056.457519531,75.925056457520,-74943.5424805,-50.1786039298,-100.855583333,-94.7381449389,-97.35676553,-96.3599109123,-92.6940727737
75925201.416015625,75.925201416016,-74798.5839844,-50.1954207055,-100.731115176,-95.4562892521,-96.6297041292,-97.2791488589,-94.0495033052
75925346.374511719,75.925346374512,-74653.6254883,-50.2122701036,-99.7778406372,-94.9214416356,-96.655124009,-98.0465089431,-95.7811247792
75925491.333007812,75.925491333008,-74508.6669922,-50.229152251,-99.8264817472,-96.2577004519,-96.5684042881,-96.6846329937,-94.3598205303
75925636.291503906,75.925636291504,-74363.7084961,-50.2460672753,-99.6865791636,-95.2959197042,-97.3714610146,-96.8811268121,-94.425133363
