Offset_Hz,Offset_kHz,20260515_092941,20260515_133100,20260515_134951,20260515_140509,20260521_162959
16380.3100586,16.3803100586,-49.3490644,-43.76187884,-43.2834444167,-44.6223987286,-44.2759576649
16525.2685547,16.5252685547,-49.5078533327,-43.8021865129,-45.5852045453,-44.423310312,-44.003401445
16670.2270508,16.6702270508,-48.9545321805,-43.2756159057,-45.123043025,-45.2974287135,-43.9552973445
16815.1855469,16.8151855469,-49.4673952959,-44.6399912287,-45.3261025963,-46.1411254068,-43.6754430997
16960.144043,16.960144043,-49.2531007204,-43.8913723612,-45.1722866192,-46.5313576592,-43.2058360122
17105.1025391,17.1051025391,-50.1162652515,-44.1709727548,-46.0338553169,-45.9540156212,-43.5910183606
17250.0610352,17.2500610352,-49.4551079651,-45.0760313856,-44.9761874366,-45.9825141557,-44.4277144999
17395.0195312,17.3950195312,-48.3656896917,-45.5974934759,-45.0262742222,-46.081610741,-44.794232555
17539.9780273,17.5399780273,-48.1382116327,-47.248397091,-46.2192478968,-45.0487554695,-44.1704453778
17684.9365234,17.6849365234,-48.5028236337,-45.4492342206,-45.5809534881,-45.0580189457,-42.3842095505
17829.8950195,17.8298950195,-49.278565258,-45.2594073219,-45.6463321057,-45.8712499376,-42.8143166956
17974.8535156,17.9748535156,-48.3363856687,-46.2939756824,-46.1893831699,-45.7173451296,-42.4187690377
18119.8120117,18.1198120117,-48.5012135739,-44.7234614918,-45.3311526086,-45.967598642,-42.7591185333
18264.7705078,18.2647705078,-48.5768283713,-43.7855221074,-45.4932528007,-46.4388570738,-43.4443921261
18409.7290039,18.4097290039,-48.1517056472,-43.8080291614,-45.9966538249,-47.3856675027,-43.7586085766
18554.6875,18.5546875,-48.5600010667,-44.890318871,-46.1804387107,-48.0730181478,-44.9258875583
18699.6459961,18.6996459961,-49.0774503979,-45.4910859869,-46.2266356044,-47.4364910049,-44.9086292647
18844.6044922,18.8446044922,-48.5327501198,-45.813289674,-46.5264691422,-47.7460635048,-44.6938359254
18989.5629883,18.9895629883,-50.1840432301,-45.6155457974,-46.7052559313,-47.8848463959,-43.7103249512
19134.5214844,19.1345214844,-48.9660362166,-45.1561820569,-45.8933308208,-46.262987786,-42.8914626693
19279.4799805,19.2794799805,-48.2805056763,-45.6037313438,-46.3612158048,-46.2868680112,-42.3014268635
19424.4384766,19.4244384766,-49.8818757214,-45.795500671,-45.9224444038,-47.0682586219,-42.6368224012
19569.3969727,19.5693969727,-49.7141775358,-46.0520613843,-45.7992469018,-46.6192274592,-42.4400926643
19714.3554688,19.7143554688,-49.8626209681,-44.6485547644,-47.2596370981,-45.8942580101,-43.7978066301
19859.3139648,19.8593139648,-50.5298228286,-44.3283241272,-45.9282944202,-46.0882890756,-44.6680506302
20004.2724609,20.0042724609,-49.8217589097,-43.884022724,-44.499340875,-45.5092260495,-44.4669504837
20149.230957,20.149230957,-49.6053050882,-43.4503093285,-45.2130039592,-45.2813203109,-42.875541585
20294.1894531,20.2941894531,-49.350007311,-42.6824440149,-46.1712187232,-45.5352820971,-41.7497344865
20439.1479492,20.4391479492,-50.2594727661,-42.910188433,-46.7775177134,-45.205757379,-42.8015895784
20584.1064453,20.5841064453,-50.7473090626,-44.9458390577,-46.4306600533,-45.6110506902,-44.1540252227
20729.0649414,20.7290649414,-49.898098092,-44.4779726269,-46.1482606903,-45.8081762107,-43.7925756237
20874.0234375,20.8740234375,-49.8796981913,-43.8633404544,-45.2055079471,-46.2137328848,-44.0885976262
21018.9819336,21.0189819336,-49.2126616761,-43.0589581451,-44.6403927128,-45.7925750993,-43.9377003162
21163.9404297,21.1639404297,-48.5816160542,-42.7095766946,-44.8641888716,-45.7756859118,-43.8841783481
21308.8989258,21.3088989258,-48.8789627409,-43.9114326628,-46.1351808942,-45.7711501895,-43.6445777137
21453.8574219,21.4538574219,-48.5853393422,-45.0834543598,-47.2614932371,-46.8442755948,-43.1513304589
