Offset_Hz,Frequency_Hz,TwoTapDelaySamples,NormalizedFirAttenuation_dB
6523.13232422,76006523.132324219,8,-71.3841507282
6668.09082031,76006668.090820312,8,-71.1932443748
6813.04931641,76006813.049316406,8,-71.0064438545
6958.0078125,76006958.0078125,8,-70.8235762707
7102.96630859,76007102.966308594,8,-70.6444794227
7247.92480469,76007247.924804688,8,-70.4690009417
7392.88330078,76007392.883300781,8,-70.2969975117
7537.84179688,76007537.841796875,8,-70.1283341663
7682.80029297,76007682.800292969,8,-69.9628836524
7827.75878906,76007827.758789062,8,-69.8005258535
7972.71728516,76007972.717285156,8,-69.6411472658
8117.67578125,76008117.67578125,8,-69.4846405213
8262.63427734,76008262.634277344,8,-69.3309039539
8407.59277344,76008407.592773438,8,-69.179841202
8552.55126953,76008552.551269531,8,-69.0313608465
8697.50976562,76008697.509765625,8,-68.8853760779
8842.46826172,76008842.468261719,8,-68.7418043916
8987.42675781,76008987.426757812,8,-68.6005673083
9132.38525391,76009132.385253906,8,-68.4615901157
9277.34375,76009277.34375,8,-68.3248016317
9422.30224609,76009422.302246094,8,-68.1901339852
9567.26074219,76009567.260742188,8,-68.057522414
9712.21923828,76009712.219238281,8,-67.9269050777
9857.17773438,76009857.177734375,8,-67.7982228847
