AbsOffset_Hz,AbsOffset_kHz,20260515_092941,20260515_133100,20260515_134951,20260515_140509,20260521_162959
19714.3554688,19.7143554688,-111.540257365,-105.906868768,-107.728992193,-107.610308482,-106.06159676
19859.3139648,19.8593139648,-111.330586638,-106.233007501,-107.149112609,-107.647020529,-106.946082977
20004.2724609,20.0042724609,-111.264251375,-106.088896322,-106.56013962,-107.749400455,-105.864094423
20149.230957,20.149230957,-110.978840947,-105.18873585,-107.270474823,-107.882918774,-104.375025695
20294.1894531,20.2941894531,-111.752868967,-104.662727421,-107.833617278,-107.365540356,-103.524003185
20439.1479492,20.4391479492,-111.530790946,-105.563207604,-107.199878957,-107.301203112,-104.404333708
20584.1064453,20.5841064453,-111.354916723,-106.755722045,-107.319186823,-106.937027862,-105.631200812
20729.0649414,20.7290649414,-111.128751098,-105.520160028,-107.767097296,-106.895982722,-105.090545725
20874.0234375,20.8740234375,-110.683085947,-104.950700329,-106.965785311,-107.69266371,-105.68455124
21018.9819336,21.0189819336,-110.666491605,-104.799216746,-106.382383848,-107.936396791,-105.847256931
21163.9404297,21.1639404297,-110.286728442,-105.23269735,-106.763074953,-107.932076432,-105.495356593
21308.8989258,21.3088989258,-110.457088603,-105.387388913,-107.310966643,-107.481785098,-104.410942863
21453.8574219,21.4538574219,-109.874678305,-105.907847796,-107.353630638,-108.145671719,-104.405493343
21598.815918,21.598815918,-110.236228372,-105.096506223,-106.222226775,-107.965945619,-104.655210369
21743.7744141,21.7437744141,-110.244429124,-104.971832492,-106.125102481,-107.469975242,-104.63207695
21888.7329102,21.8887329102,-109.953772009,-105.209286636,-106.655765351,-107.605295068,-105.87966214
22033.6914062,22.0336914062,-110.103959393,-105.45145549,-106.509248392,-107.367884648,-104.740461842
22178.6499023,22.1786499023,-109.522871265,-105.84597198,-107.328687039,-106.537750407,-103.662352336
22323.6083984,22.3236083984,-109.124912849,-106.096552702,-106.473066342,-106.277746556,-104.384749984
22468.5668945,22.4685668945,-109.786524771,-106.44275275,-106.888847547,-106.990910889,-104.395183547
22613.5253906,22.6135253906,-110.455157291,-105.999249249,-106.794553856,-106.472913519,-105.457272911
22758.4838867,22.7584838867,-111.367700826,-105.830045872,-105.898376527,-105.857528242,-105.658011294
22903.4423828,22.9034423828,-110.32126971,-105.776910251,-106.688994726,-106.439942379,-104.461145475
23048.4008789,23.0484008789,-110.460713902,-105.727880306,-107.952720602,-107.729309583,-103.937734546
23193.359375,23.193359375,-109.638051378,-105.481423384,-106.599034247,-108.025204436,-104.978585984
23338.3178711,23.3383178711,-109.571651132,-105.799488039,-105.622599197,-106.117788055,-106.039657312
23483.2763672,23.4832763672,-110.438662454,-105.600094289,-105.853006722,-105.604953361,-105.15290327
23628.2348633,23.6282348633,-109.921174259,-105.759492898,-106.168721842,-107.32885511,-104.765228062
23773.1933594,23.7731933594,-108.920899805,-105.296665225,-106.054922682,-106.851333694,-104.153569859
23918.1518555,23.9181518555,-108.697258349,-104.188938444,-104.762664477,-106.874631234,-104.62794699
24063.1103516,24.0631103516,-109.733797847,-103.973110851,-105.111906491,-106.418941823,-104.366427505
24208.0688477,24.2080688477,-108.54240168,-105.062505098,-105.39698885,-106.703037284,-104.002943916
24353.0273438,24.3530273438,-109.592824239,-104.81058229,-105.422643911,-106.567687904,-103.6901786
24497.9858398,24.4979858398,-110.150695399,-104.728019033,-104.741740007,-105.921081898,-103.477301756
24642.9443359,24.6429443359,-109.104108649,-104.307795916,-105.343404006,-106.545711803,-104.077266256
24787.902832,24.787902832,-108.961168507,-104.765373483,-106.235915999,-106.452236256,-103.469759721
24932.8613281,24.9328613281,-109.3686248,-106.047952588,-105.700344832,-105.594454283,-103.539970791
25077.8198242,25.0778198242,-109.377939773,-105.663045344,-104.618792077,-105.294475701,-104.524875834
25222.7783203,25.2227783203,-110.0600052,-104.594970024,-105.84974532,-105.61616263,-103.76009671
25367.7368164,25.3677368164,-110.306279945,-103.885952887,-105.47191752,-106.257586553,-102.816412169
25512.6953125,25.5126953125,-109.592349837,-103.644394237,-104.559271482,-106.063207768,-102.481561604
25657.6538086,25.6576538086,-108.596900524,-104.475857017,-104.925107619,-105.538521441,-102.721510324
25802.6123047,25.8026123047,-108.842220235,-105.124351709,-104.914773433,-105.266674483,-103.159902659
25947.5708008,25.9475708008,-108.8058083,-104.32241817,-104.92771196,-105.800962764,-102.846071408
26092.5292969,26.0925292969,-108.043349295,-105.16457906,-106.112210738,-106.134830245,-102.230123199
26237.487793,26.237487793,-108.124511345,-103.825313535,-104.991955761,-105.972201637,-103.239969621
26382.4462891,26.3824462891,-108.224027345,-102.995286311,-104.864962713,-105.163337453,-103.172787255
26527.4047852,26.5274047852,-108.273369765,-103.365137253,-104.764837497,-104.789922676,-104.050314189
26672.3632812,26.6723632812,-108.605903353,-103.875758169,-105.111166867,-105.442035807,-104.579042329
26817.3217773,26.8173217773,-107.659815325,-104.220607126,-105.070662582,-105.593749696,-103.470893864
26962.2802734,26.9622802734,-107.43004187,-103.42825736,-105.73597894,-106.171579001,-103.387909653
27107.2387695,27.1072387695,-108.230040898,-103.611711953,-105.352846418,-105.674242697,-104.386714471
27252.1972656,27.2521972656,-108.656357942,-104.199850699,-105.837763635,-105.28917765,-103.473858941
27397.1557617,27.3971557617,-109.47644214,-104.4091152,-105.124703343,-104.860879139,-103.182077301
27542.1142578,27.5421142578,-108.390374673,-103.907527801,-104.901455536,-105.195164056,-102.804951615
27687.0727539,27.6870727539,-108.123404968,-103.258088751,-104.86238352,-104.938950512,-103.473965012
27832.03125,27.83203125,-107.706548636,-103.794207646,-103.646131758,-104.701205792,-104.126319379
27976.9897461,27.9769897461,-107.587653288,-103.664225542,-104.058300753,-105.112534095,-103.821598138
28121.9482422,28.1219482422,-107.785071244,-103.384111752,-105.220248182,-106.251038403,-103.927498169
28266.9067383,28.2669067383,-108.099557906,-102.795567034,-104.644520776,-106.183037453,-103.463714692
28411.8652344,28.4118652344,-107.915511722,-103.181852467,-103.919865173,-105.062656646,-102.882968479
28556.8237305,28.5568237305,-106.94907547,-103.059222007,-103.46542348,-104.633354216,-102.920260901
28701.7822266,28.7017822266,-107.017147365,-103.676893792,-104.02122397,-104.376196313,-103.695823913
28846.7407227,28.8467407227,-108.026555215,-103.579949639,-104.072263522,-105.257114563,-103.980185057
28991.6992188,28.9916992188,-107.336647444,-103.608206188,-104.22519063,-104.513659025,-103.854713549
29136.6577148,29.1366577148,-107.854689536,-103.688577502,-104.084972408,-104.622238713,-103.648189663
29281.6162109,29.2816162109,-108.329897606,-103.483799283,-104.095160642,-105.376337974,-103.438577823
29426.574707,29.426574707,-108.335797897,-103.365925508,-104.470705155,-104.112404737,-103.312268436
29571.5332031,29.5715332031,-107.884055278,-103.63410267,-103.981652232,-104.74558584,-102.99473125
29716.4916992,29.7164916992,-107.646957907,-102.277711728,-104.646379892,-105.012381508,-101.693213141
29861.4501953,29.8614501953,-107.969515532,-102.43860037,-103.549803546,-105.034017926,-101.742147871
30006.4086914,30.0064086914,-107.489053821,-103.787064189,-102.823336745,-104.896700064,-101.844657138
30151.3671875,30.1513671875,-106.968743752,-102.532412607,-103.273250426,-104.710550863,-102.26889098
30296.3256836,30.2963256836,-107.17915852,-102.337590971,-103.838413886,-105.131831901,-101.271871539
30441.2841797,30.4412841797,-107.074633144,-102.339918085,-103.831944062,-104.346091656,-101.044075872
30586.2426758,30.5862426758,-106.53742645,-102.50852491,-104.764329159,-104.278461734,-102.238730674
30731.2011719,30.7312011719,-107.25631228,-103.316125611,-104.978034741,-104.336104753,-102.084443655
30876.159668,30.876159668,-108.01065942,-102.841740964,-103.801646884,-104.557906238,-100.895491607
31021.1181641,31.0211181641,-108.045305559,-102.125321047,-104.091917223,-104.060031686,-101.539500734
31166.0766602,31.1660766602,-107.126655484,-102.869228155,-104.975633375,-103.254803944,-102.357730661
31311.0351562,31.3110351562,-107.754321064,-102.967976531,-103.886787329,-104.157540069,-102.801212775
31455.9936523,31.4559936523,-107.084424652,-103.500134984,-103.557618778,-104.708791155,-101.904825703
31600.9521484,31.6009521484,-106.942672143,-102.439734619,-102.56886773,-103.302731517,-100.824518045
31745.9106445,31.7459106445,-107.07900517,-98.5725501409,-98.4535936403,-100.32913462,-100.223234713
31890.8691406,31.8908691406,-107.142005556,-100.305329925,-98.900765527,-101.032123039,-102.077972679
32035.8276367,32.0358276367,-107.054787579,-102.724185724,-103.039348279,-104.507681964,-103.124846177
32180.7861328,32.1807861328,-107.257859924,-102.269077498,-103.509195758,-103.96367422,-102.289233803
32325.7446289,32.3257446289,-106.85744853,-102.801550388,-104.101576056,-104.132163246,-102.395821224
32470.703125,32.470703125,-107.372215461,-101.886982565,-103.132405363,-104.212647815,-101.805312781
32615.6616211,32.6156616211,-107.543166571,-101.399129375,-101.84640938,-104.101461044,-101.840143172
32760.6201172,32.7606201172,-107.217943543,-102.099603922,-102.612381924,-103.867765976,-100.995513898
