Frequency_Hz,Frequency_MHz,OffsetFrom76MHz_MHz,TwoTapDelaySamples,NormalizedFirRejection_dB
34890178.035607122,34.890178035607,-41.109821964393,8,-0.0719660538497
34925385.0770154,34.925385077015,-41.074614922985,8,-0.0703413996195
34960592.118423685,34.960592118424,-41.039407881576,8,-0.0687354427468
34995799.159831963,34.995799159832,-41.004200840168,8,-0.0671481763187
35031006.201240249,35.031006201240,-40.968993798760,8,-0.0655795935056
35066213.242648527,35.066213242649,-40.933786757351,8,-0.0640296875604
35101420.284056813,35.101420284057,-40.898579715943,8,-0.0624984518191
35136627.325465091,35.136627325465,-40.863372674535,8,-0.0609858797
35171834.366873376,35.171834366873,-40.828165633127,8,-0.0594919647041
35207041.408281654,35.207041408282,-40.792958591718,8,-0.0580167004145
35242248.44968994,35.242248449690,-40.757751550310,8,-0.056560080497
35277455.491098218,35.277455491098,-40.722544508902,8,-0.0551220986992
35312662.532506503,35.312662532507,-40.687337467493,8,-0.0537027488509
35347869.573914781,35.347869573915,-40.652130426085,8,-0.0523020248639
35383076.615323067,35.383076615323,-40.616923384677,8,-0.0509199207317
35418283.656731345,35.418283656731,-40.581716343269,8,-0.0495564305297
35453490.69813963,35.453490698140,-40.546509301860,8,-0.0482115484149
35488697.739547908,35.488697739548,-40.511302260452,8,-0.0468852686257
35523904.780956194,35.523904780956,-40.476095219044,8,-0.0455775854822
35559111.822364472,35.559111822364,-40.440888177636,8,-0.0442884933855
35594318.863772757,35.594318863773,-40.405681136227,8,-0.0430179868184
35629525.905181035,35.629525905181,-40.370474094819,8,-0.0417660603443
35664732.946589321,35.664732946589,-40.335267053411,8,-0.0405327086081
35699939.987997599,35.699939987998,-40.300060012002,8,-0.0393179263355
35735147.029405884,35.735147029406,-40.264852970594,8,-0.038121708333
35770354.070814162,35.770354070814,-40.229645929186,8,-0.0369440494881
35805561.112222448,35.805561112222,-40.194438887778,8,-0.0357849447688
35840768.153630726,35.840768153631,-40.159231846369,8,-0.0346443892238
35875975.195039012,35.875975195039,-40.124024804961,8,-0.0335223779822
35911182.23644729,35.911182236447,-40.088817763553,8,-0.0324189062537
35946389.277855575,35.946389277856,-40.053610722144,8,-0.0313339693284
35981596.319263853,35.981596319264,-40.018403680736,8,-0.0302675625765
36016803.360672139,36.016803360672,-39.983196639328,8,-0.0292196814485
36052010.402080417,36.052010402080,-39.947989597920,8,-0.0281903214749
36087217.443488695,36.087217443489,-39.912782556511,8,-0.0271794782665
36122424.48489698,36.122424484897,-39.877575515103,8,-0.0261871475139
36157631.526305258,36.157631526305,-39.842368473695,8,-0.0252133249876
36192838.567713544,36.192838567714,-39.807161432286,8,-0.0242580065379
36228045.609121822,36.228045609122,-39.771954390878,8,-0.0233211880949
36263252.650530107,36.263252650530,-39.736747349470,8,-0.0224028656685
36298459.691938385,36.298459691938,-39.701540308062,8,-0.021503035348
36333666.733346671,36.333666733347,-39.666333266653,8,-0.0206216933023
36368873.774754949,36.368873774755,-39.631126225245,8,-0.0197588357799
36404080.816163234,36.404080816163,-39.595919183837,8,-0.0189144591086
36439287.857571512,36.439287857572,-39.560712142428,8,-0.0180885596958
36474494.898979798,36.474494898980,-39.525505101020,8,-0.0172811340277
36509701.940388076,36.509701940388,-39.490298059612,8,-0.0164921786703
36544908.981796362,36.544908981796,-39.455091018204,8,-0.0157216902683
36580116.02320464,36.580116023205,-39.419883976795,8,-0.0149696655459
36615323.064612925,36.615323064613,-39.384676935387,8,-0.0142361013062
36650530.106021203,36.650530106021,-39.349469893979,8,-0.0135209944312
36685737.147429489,36.685737147429,-39.314262852571,8,-0.012824341882
36720944.188837767,36.720944188838,-39.279055811162,8,-0.0121461406986
36756151.230246052,36.756151230246,-39.243848769754,8,-0.0114863879998
36791358.27165433,36.791358271654,-39.208641728346,8,-0.0108450809833
36826565.313062616,36.826565313063,-39.173434686937,8,-0.0102222169255
36861772.354470894,36.861772354471,-39.138227645529,8,-0.00961779318138
36896979.395879179,36.896979395879,-39.103020604121,8,-0.0090318071848
36932186.437287457,36.932186437287,-39.067813562713,8,-0.00846425644812
36967393.478695743,36.967393478696,-39.032606521304,8,-0.00791513856232
37002600.520104021,37.002600520104,-38.997399479896,8,-0.00738445119692
37037807.561512306,37.037807561512,-38.962192438488,8,-0.00687219209993
37073014.602920584,37.073014602921,-38.926985397079,8,-0.00637835909782
37108221.64432887,37.108221644329,-38.891778355671,8,-0.00590295009549
37143428.685737148,37.143428685737,-38.856571314263,8,-0.00544596307623
37178635.727145433,37.178635727145,-38.821364272855,8,-0.00500739610169
37213842.768553711,37.213842768554,-38.786157231446,8,-0.00458724731183
37249049.80996199,37.249049809962,-38.750950190038,8,-0.0041855149249
37284256.851370275,37.284256851370,-38.715743148630,8,-0.00380219723743
37319463.892778553,37.319463892779,-38.680536107221,8,-0.00343729262417
37354670.934186839,37.354670934187,-38.645329065813,8,-0.00309079953806
37389877.975595117,37.389877975595,-38.610122024405,8,-0.00276271651023
37425085.017003402,37.425085017003,-38.574914982997,8,-0.00245304214998
