mirror_tilt_urad,tem00_purity,higher_order_content,tem00,tem01,tem02,tem10,tem11,tem20
147.9591836734694,0.46963149353678274,0.5303685064632173,0.46963149353678274,9.469957327915009e-37,1.5520465625081317e-06,0.3462525468327199,3.8798415172467796e-33,0.18411440758393488
153.0612244897959,0.5529187654151686,0.4470812345848314,0.5529187654151686,1.3964736442973278e-31,1.5739871248535036e-06,0.32553579991169684,3.879427206613682e-33,0.12154386068600974
158.16326530612244,0.6384848456801312,0.3615151543198688,0.6384848456801312,3.881025261912769e-33,1.6024680949627783e-06,0.2875719168649342,3.491383867655706e-32,0.07394163498683969
163.26530612244898,0.722751231322451,0.277248768677549,0.722751231322451,9.469957327915009e-37,1.6364137659979134e-06,0.23676515450786104,1.5515814834989147e-32,0.04048197775592202
168.3673469387755,0.8018570655238438,0.19814293447615616,0.8018570655238438,1.5516525081788741e-32,1.6746609365545804e-06,0.17895993919525588,6.20739130419505e-32,0.019181320619963787
173.46938775510205,0.8719303768198493,0.1280696231801507,0.8719303768198493,3.4910050693625886e-32,1.7159472558738802e-06,0.12074678066353232,3.880684935321295e-33,0.00732112656936243
178.57142857142856,0.929367207184085,0.07063279281591495,0.929367207184085,3.4910050693625903e-32,1.7589090169946065e-06,0.06870832501770478,9.75065278183774e-34,0.0019227088891932437
183.6734693877551,0.9710980195604996,0.02890198043950043,0.9710980195604996,1.5515814834989153e-32,1.802093320201734e-06,0.028689728415507498,2.9783015796292723e-33,0.0002104499306727775
188.77551020408163,0.994823369661225,0.005176630338775023,0.994823369661225,5.91872332994688e-38,1.8439888594110214e-06,0.005165946978051751,1.104581741451337e-32,8.839371863828892e-06
193.87755102040816,0.9992016024247911,0.0007983975752089423,0.9992016024247911,9.697242222508298e-32,1.8830776635567262e-06,0.0007655098312559543,1.701078077047545e-32,3.1004666289463554e-05
198.9795918367347,0.9839710287070432,0.016028971292956773,0.9839710287070432,3.4910287442559094e-32,1.9179068630708555e-06,0.015997016480423912,5.459171455397319e-34,3.0036905669754705e-05
204.0816326530612,0.9499897950163857,0.050010204983614304,0.9499897950163857,1.9006636423928503e-31,1.9471752738288723e-06,0.04920885518422045,6.0614977334735245e-33,0.0007994026241199052
209.18367346938774,0.899180965553558,0.10081903444644202,0.899180965553558,9.697259978678296e-32,1.9698251480379953e-06,0.09679139579434835,3.4910109880859213e-32,0.004025668826945727
214.28571428571428,0.834379667274586,0.165620332725414,0.834379667274586,2.367489331978752e-37,1.985126110174718e-06,0.1536030932435074,2.4244570440294923e-32,0.012015254355796468
219.3877551020408,0.7590928578785119,0.24090714212148812,0.7590928578785119,2.900174431673971e-36,1.992737400616892e-06,0.21357057544819238,8.728045358506165e-33,0.027334573935894953
224.48979591836735,0.6771973320397768,0.32280266796022317,0.6771973320397768,1.5515814834989142e-32,1.9927368913912133e-06,0.27038495296004517,4.794165897256973e-36,0.052415722263286744
229.59183673469389,0.5926135019312349,0.40738649806876515,0.5926135019312349,3.8803742023464746e-33,1.985610701420352e-06,0.3182008140105405,2.1307403987808775e-36,0.08918369844752314
234.6938775510204,0.508997203050258,0.491002796949742,0.508997203050258,2.482493085641285e-31,1.9722042916608343e-06,0.35224666525567555,4.7516694637479544e-32,0.13875415948977476
239.79591836734693,0.4294875010957877,0.5705124989042123,0.4294875010957877,9.706706261112883e-34,1.953642659316853e-06,0.36927618615656427,3.4910583378725574e-32,0.20123435910498863
244.89795918367346,0.35653655989511224,0.6434634401048878,0.35653655989511224,3.8888971639415964e-33,1.9312317969011282e-06,0.36782252253549563,1.173386900161969e-31,0.27563898633759526
250.0,0.29183189954773336,0.7081681004522666,0.29183189954773336,7.854814674575798e-32,1.9063549207268773e-06,0.3482531149652577,7.854785080959149e-32,0.35991307913208825
