objective_focal_length_mm,wavelength_nm,focus_spot_radius_um,focus_spot_diameter_um,required_beam_radius_on_objective_mm,required_beam_diameter_on_objective_mm,best_pinhole_radius_um,best_tem00_purity,best_tem00_transmission,best_total_transmission,score_purity_times_transmission
20.0,780.0,42.97142857142857,85.94285714285714,0.11555664751087084,0.2311132950217417,112.20338983050846,0.3900050113171101,0.24999711996966698,0.9999756306607742,0.09750012960301489
20.0,780.0,45.028571428571425,90.05714285714285,0.11027740980732852,0.22055481961465703,117.62711864406779,0.3900049133835486,0.2499971826431113,0.9999761324538058,0.09750012956285779
20.0,780.0,47.08571428571428,94.17142857142856,0.10545946471865883,0.21091892943731766,123.05084745762711,0.3900048997030016,0.24999719122804323,0.9999762018701508,0.09750012949092511
20.0,780.0,49.14285714285714,98.28571428571428,0.10104488247462193,0.20208976494924386,128.47457627118644,0.3900048269643731,0.2499972379911992,0.9999765754230165,0.09750012954432884
20.0,780.0,51.199999999999996,102.39999999999999,0.09698504344662374,0.1939700868932475,133.89830508474574,0.39000480728681264,0.24999725041954465,0.9999766755892643,0.09750012947210755
20.0,780.0,53.25714285714285,106.5142857142857,0.09323884005168977,0.18647768010337953,139.32203389830508,0.3900048059093375,0.24999725142302448,0.999976683134996,0.09750012951910451
20.0,780.0,55.31428571428571,110.62857142857142,0.08977127988447818,0.17954255976895636,144.74576271186442,0.3900047468886209,0.24999728909316407,0.9999769851435208,0.09750012945562084
20.0,780.0,57.37142857142857,114.74285714285713,0.0865523893706921,0.1731047787413842,150.1694915254237,0.3900047341861123,0.24999729709038268,0.9999770497013966,0.09750012939898124
20.0,780.0,59.42857142857142,118.85714285714285,0.08355634512324507,0.16711269024649014,155.59322033898303,0.3900047351696364,0.2499972965857054,0.9999770451609439,0.09750012944803309
20.0,780.0,61.48571428571428,122.97142857142856,0.08076077967302499,0.16152155934604998,161.01694915254237,0.39000465565618925,0.24999734711476287,0.999977451148281,0.0975001292764539
20.0,780.0,63.54285714285714,127.08571428571427,0.07814622205771121,0.15629244411542242,166.4406779661017,0.39000468775623387,0.2499973266893019,0.9999772871424579,0.09750012933535439
20.0,780.0,65.6,131.2,0.07569564366565756,0.15139128733131513,171.864406779661,0.39000460719120555,0.24999737792568716,0.9999776986554411,0.09750012917673899
20.0,780.0,67.65714285714284,135.3142857142857,0.07339408693258014,0.14678817386516027,177.2881355932203,0.390004563425729,0.2499974056506153,0.9999779217692113,0.09750012904833309
20.0,780.0,69.71428571428571,139.42857142857142,0.07122835977719251,0.14245671955438502,179.99999999999997,0.390006449217001,0.24999617884923825,0.9999681794693271,0.09750012203080974
20.0,780.0,71.77142857142857,143.54285714285714,0.06918678258612648,0.13837356517225297,179.99999999999997,0.39001208042618946,0.24999224636645787,0.9999380119342052,0.09749999609579874
20.0,780.0,73.82857142857142,147.65714285714284,0.06725897749858735,0.1345179549971747,179.99999999999997,0.390021313656109,0.249985186426386,0.9998861015299506,0.09749955080458637
20.0,780.0,75.88571428571427,151.77142857142854,0.06543569196398712,0.13087138392797423,179.99999999999997,0.390035645262628,0.2499731776611381,0.9998013306936362,0.09749844964741156
20.0,780.0,77.94285714285714,155.88571428571427,0.06370865024059742,0.12741730048119485,179.99999999999997,0.39005682120534885,0.249953710551324,0.9996691950055067,0.0974961497861313
20.0,780.0,80.0,160.0,0.0620704278058392,0.1241408556116784,179.99999999999997,0.390086749197923,0.2499234814742182,0.9994716095954336,0.09749183843650511
