pair,averaging_frames,tau_s,allan_variance,allan_deviation,overlapping_terms,variance_unit
"(1,3)-(6,8)",6,0.08269903312066162,170.7965130039274,13.068913994817144,120311,urad^4
"(2,3)-(7,8)",6,0.08269903312066162,155.02853045482163,12.45104535590573,120311,urad^4
"(6,1)-(8,3)",6,0.08269903312066162,88.54886423826582,9.410040607684211,120311,urad^4
"(2,2)-(8,8)",6,0.08269903312066162,110.78807441002431,10.525591404288136,120311,urad^4
"(1,2)-(7,8)",6,0.08269903312066162,121.67922376515654,11.030830601779567,120311,urad^4
"(7,1)-(8,2)",6,0.08269903312066162,27.944825941457644,5.2862865928227585,120311,urad^4
"(3,1)-(8,6)",6,0.08269903312066162,191.37340887516913,13.833777823688262,120311,urad^4
"(3,2)-(8,7)",6,0.08269903312066162,179.38167558589848,13.39334445110326,120311,urad^4
"(7,2)-(8,3)",7,0.09648220530743856,25.99586873740743,5.098614393872852,120309,urad^4
"(1,3)-(6,8)",7,0.09648220530743856,181.9440810465381,13.488664909713567,120309,urad^4
"(2,3)-(7,8)",7,0.09648220530743856,167.03421751253416,12.924171830818954,120309,urad^4
"(6,1)-(8,3)",7,0.09648220530743856,93.05270993630586,9.646383256760322,120309,urad^4
"(2,2)-(8,8)",7,0.09648220530743856,118.31926865257046,10.877466095215855,120309,urad^4
"(1,2)-(7,8)",7,0.09648220530743856,128.75711446344772,11.347119214296098,120309,urad^4
"(7,1)-(8,2)",7,0.09648220530743856,27.836360055670163,5.276017442699575,120309,urad^4
"(3,1)-(8,6)",7,0.09648220530743856,203.43376580910947,14.263020921568806,120309,urad^4
"(3,2)-(8,7)",7,0.09648220530743856,191.37525113218604,13.833844408991524,120309,urad^4
"(7,2)-(8,3)",8,0.1102653774942155,27.39335922303531,5.2338665652684835,120307,urad^4
"(1,3)-(6,8)",8,0.1102653774942155,193.78293571122373,13.920593942473278,120307,urad^4
"(2,3)-(7,8)",8,0.1102653774942155,180.15221516170854,13.422079390381676,120307,urad^4
"(6,1)-(8,3)",8,0.1102653774942155,98.07694752651176,9.90338061100914,120307,urad^4
"(2,2)-(8,8)",8,0.1102653774942155,126.80423089354588,11.26073847016908,120307,urad^4
"(1,2)-(7,8)",8,0.1102653774942155,136.45083237745104,11.681217076034972,120307,urad^4
"(7,1)-(8,2)",8,0.1102653774942155,28.165344407021426,5.307103202974427,120307,urad^4
"(3,1)-(8,6)",8,0.1102653774942155,216.1705017364647,14.702737899332378,120307,urad^4
"(3,2)-(8,7)",8,0.1102653774942155,204.91931673741465,14.31500320424046,120307,urad^4
"(7,2)-(8,3)",9,0.12404854968099244,28.896331909725724,5.375530849109297,120305,urad^4
"(1,3)-(6,8)",9,0.12404854968099244,206.0234834632461,14.35351815630043,120305,urad^4
"(2,3)-(7,8)",9,0.12404854968099244,193.9331894630333,13.92598971215451,120305,urad^4
"(6,1)-(8,3)",9,0.12404854968099244,103.5386199050195,10.175392862441209,120305,urad^4
"(2,2)-(8,8)",9,0.12404854968099244,136.06294999941662,11.664602436406335,120305,urad^4
"(1,2)-(7,8)",9,0.12404854968099244,144.81669108722593,12.033980683349377,120305,urad^4
"(7,1)-(8,2)",9,0.12404854968099244,28.933745519924546,5.379009715544726,120305,urad^4
"(3,1)-(8,6)",9,0.12404854968099244,229.28937312383673,15.142304089002991,120305,urad^4
"(3,2)-(8,7)",9,0.12404854968099244,220.30870481126482,14.842799763227449,120305,urad^4
"(7,2)-(8,3)",10,0.13783172186776937,30.537754882300643,5.526097617876529,120303,urad^4
"(1,3)-(6,8)",10,0.13783172186776937,219.39144519686718,14.811868389803738,120303,urad^4
"(2,3)-(7,8)",10,0.13783172186776937,208.43796830899316,14.437380936617041,120303,urad^4
"(6,1)-(8,3)",10,0.13783172186776937,109.70153142646933,10.473849885618437,120303,urad^4
"(2,2)-(8,8)",10,0.13783172186776937,145.95932684747635,12.081362789332847,120303,urad^4
