frame_index,frame_number_1based,integrated_time_s,raw_std
504,505,6.960502,0.418910
505,506,6.974285,0.193177
506,507,6.988068,0.357164
507,508,7.001851,0.201739
508,509,7.015635,0.376236
509,510,7.029418,0.269515
510,511,7.043201,0.247017
511,512,7.056984,0.243754
512,513,7.070767,0.381366
513,514,7.084551,0.293642
514,515,7.098334,0.237584
515,516,7.112117,0.305270
516,517,7.125900,0.168484
517,518,7.139683,0.223396
518,519,7.153466,0.282496
519,520,7.167250,0.230578
520,521,7.181033,0.314921
521,522,7.194816,0.347856
522,523,7.208599,0.271090
523,524,7.222382,0.230898
524,525,7.236165,0.323519
525,526,7.249949,0.258211
526,527,7.263732,0.326321
527,528,7.277515,0.424164
528,529,7.291298,0.180295
529,530,7.305081,0.142546
530,531,7.318864,0.355132
531,532,7.332648,0.377853
532,533,7.346431,0.412452
533,534,7.360214,0.306824
534,535,7.373997,0.375736
535,536,7.387780,0.235157
536,537,7.401563,0.181413
537,538,7.415347,0.351052
538,539,7.429130,0.189865
539,540,7.442913,0.569693
540,541,7.456696,0.516834
541,542,7.470479,0.442644
542,543,7.484262,0.230687
543,544,7.498046,0.315192
544,545,7.511829,0.297369
545,546,7.525612,0.413941
546,547,7.539395,0.317125
547,548,7.553178,0.203052
548,549,7.566962,0.280898
549,550,7.580745,0.500606
550,551,7.594528,0.278147
551,552,7.608311,0.204016
552,553,7.622094,0.339152
553,554,7.635877,0.458438
554,555,7.649661,0.443656
555,556,7.663444,0.330399
556,557,7.677227,0.287873
557,558,7.691010,0.246884
558,559,7.704793,0.340426
559,560,7.718576,0.296314
560,561,7.732360,0.525614
561,562,7.746143,0.415737
562,563,7.759926,0.365040
563,564,7.773709,0.303685
564,565,7.787492,0.322410
565,566,7.801275,0.380183
566,567,7.815059,0.173039
567,568,7.828842,0.246138
568,569,7.842625,0.263352
569,570,7.856408,0.450469
570,571,7.870191,0.288980
571,572,7.883974,0.272112
572,573,7.897758,0.378673
573,574,7.911541,0.189635
574,575,7.925324,0.230125
575,576,7.939107,0.399750
576,577,7.952890,0.446530
577,578,7.966674,0.187800
578,579,7.980457,0.323307
579,580,7.994240,0.287035
580,581,8.008023,0.381504
581,582,8.021806,0.467346
582,583,8.035589,0.325800
583,584,8.049373,0.425889
584,585,8.063156,0.240014
585,586,8.076939,0.449226
586,587,8.090722,0.230654
587,588,8.104505,0.460407
588,589,8.118288,0.412694
589,590,8.132072,0.462477
590,591,8.145855,0.317820
591,592,8.159638,0.209478
592,593,8.173421,0.263491
593,594,8.187204,0.457457
594,595,8.200987,0.436489
595,596,8.214771,0.251121
596,597,8.228554,0.306533
597,598,8.242337,0.324224
598,599,8.256120,0.159465
599,600,8.269903,0.176219
600,601,8.283686,0.215305
601,602,8.297470,0.291400
602,603,8.311253,0.299796
603,604,8.325036,0.249313
604,605,8.338819,0.337026
605,606,8.352602,0.372886
606,607,8.366386,0.294925
607,608,8.380169,0.279072
608,609,8.393952,0.287687
609,610,8.407735,0.403465
610,611,8.421518,0.300955
611,612,8.435301,0.294280
612,613,8.449085,0.605180
613,614,8.462868,0.230609
614,615,8.476651,0.174507
615,616,8.490434,0.297368
616,617,8.504217,0.217827
617,618,8.518000,0.398708
618,619,8.531784,0.535905
619,620,8.545567,0.382668
620,621,8.559350,0.190710
621,622,8.573133,0.351011
622,623,8.586916,0.398657
623,624,8.600699,0.363266
624,625,8.614483,0.093169
625,626,8.628266,0.180920
626,627,8.642049,0.305576
627,628,8.655832,0.433209
628,629,8.669615,0.306147
629,630,8.683398,0.251398
630,631,8.697182,0.358636
631,632,8.710965,0.275154
632,633,8.724748,0.185227
633,634,8.738531,0.199158
634,635,8.752314,0.348720
635,636,8.766098,0.312959
636,637,8.779881,0.153174
637,638,8.793664,0.322530
638,639,8.807447,0.210052
639,640,8.821230,0.286170
640,641,8.835013,0.297991
641,642,8.848797,0.259045
642,643,8.862580,0.318264
643,644,8.876363,0.421261
644,645,8.890146,0.474498
645,646,8.903929,0.478653
646,647,8.917712,0.247302
647,648,8.931496,0.365547
648,649,8.945279,0.249901
649,650,8.959062,0.273743
650,651,8.972845,0.275674
651,652,8.986628,0.271075
652,653,9.000411,0.323687
653,654,9.014195,0.513489
654,655,9.027978,0.426363
655,656,9.041761,0.207983
656,657,9.055544,0.258434
657,658,9.069327,0.453138
658,659,9.083110,0.315768
659,660,9.096894,0.495218
660,661,9.110677,0.493697
661,662,9.124460,0.139881
662,663,9.138243,0.479475
663,664,9.152026,0.269296
664,665,9.165810,0.307409
665,666,9.179593,0.290660
666,667,9.193376,0.333136
667,668,9.207159,0.420508
668,669,9.220942,0.128071
669,670,9.234725,0.335514
670,671,9.248509,0.210724
671,672,9.262292,0.493853
672,673,9.276075,0.175466
673,674,9.289858,0.146872
674,675,9.303641,0.505807
675,676,9.317424,0.246500
676,677,9.331208,0.195560
677,678,9.344991,0.326513
678,679,9.358774,0.427584
679,680,9.372557,0.160861
680,681,9.386340,0.243001
681,682,9.400123,0.348990
682,683,9.413907,0.358645
683,684,9.427690,0.443565
684,685,9.441473,0.527549
685,686,9.455256,0.180657
686,687,9.469039,0.458103
687,688,9.482822,0.552473
688,689,9.496606,0.280467
689,690,9.510389,0.264726
690,691,9.524172,0.133116
691,692,9.537955,0.515226
692,693,9.551738,0.290775
693,694,9.565521,0.426340
694,695,9.579305,0.213427
695,696,9.593088,0.446802
696,697,9.606871,0.358901
